ID	Type	Nanog	Pou5f3	Sox19b
atac_L27760	typ_enh	0	1	1
atac_L15021	typ_enh	0	0	0
atac_L27429	typ_enh	1	0	1
atac_L12034	typ_enh	0	0	0
atac_L31486	typ_enh	3	0	0
atac_L23109	typ_enh	0	0	2
atac_L27117	typ_enh	0	0	3
atac_L09202	typ_enh	1	0	1
atac_L37736	typ_enh	0	0	1
atac_L35366	typ_enh	1	1	0
atac_L07813	typ_enh	0	0	1
atac_L08903	typ_enh	0	1	1
atac_L08755	typ_enh	2	1	0
atac_L27761	typ_enh	0	0	2
atac_L31488	typ_enh	2	0	3
atac_L20831	typ_enh	1	0	0
atac_L20312	typ_enh	1	0	1
atac_L39833	typ_enh	2	0	1
atac_L27884	typ_enh	0	1	2
atac_L28069	typ_enh	0	0	0
atac_L32227	typ_enh	0	0	0
atac_L07517	typ_enh	1	1	0
atac_P05649	typ_enh	0	0	0
atac_L36586	typ_enh	1	0	1
atac_L27512	typ_enh	1	0	0
atac_L35820	typ_enh	1	0	0
atac_L33605	typ_enh	1	0	1
atac_L33511	typ_enh	0	0	0
atac_L18828	typ_enh	1	1	0
atac_L02000	typ_enh	2	1	0
atac_L22011	typ_enh	2	1	0
atac_L13745	typ_enh	0	1	1
atac_L23157	typ_enh	1	0	1
atac_L32078	typ_enh	0	0	0
atac_L10818	typ_enh	1	2	3
atac_L20830	typ_enh	1	2	0
atac_L22010	typ_enh	0	0	2
atac_L40459	typ_enh	1	3	1
atac_L40460	typ_enh	0	0	0
atac_L27832	typ_enh	0	0	1
atac_L38033	typ_enh	1	0	0
atac_L32380	typ_enh	1	0	1
atac_L02001	typ_enh	1	0	0
atac_L39153	typ_enh	2	3	0
atac_L27833	typ_enh	3	1	1
atac_L03640	typ_enh	0	0	0
atac_L13744	typ_enh	1	0	1
atac_L27831	typ_enh	0	0	0
atac_L37739	typ_enh	0	0	2
atac_L36739	typ_enh	0	0	2
atac_L16727	typ_enh	1	1	0
atac_L33510	typ_enh	1	0	0
atac_L31776	typ_enh	1	0	0
atac_L27758	typ_enh	3	1	0
atac_L05776	typ_enh	0	0	0
atac_L31489	typ_enh	1	0	1
atac_L15868	typ_enh	2	2	0
atac_L15022	typ_enh	3	0	0
atac_L31683	typ_enh	0	0	0
atac_L31191	typ_enh	1	1	2
atac_L12331	typ_enh	2	0	0
atac_P00455	typ_enh	1	1	2
atac_L38189	typ_enh	2	0	2
atac_L23265	typ_enh	0	0	4
atac_L24081	typ_enh	1	0	0
atac_L15188	typ_enh	0	0	0
atac_L29435	typ_enh	0	1	0
atac_L28939	typ_enh	2	2	1
atac_L05984	typ_enh	0	0	0
atac_L31194	typ_enh	1	0	0
atac_L27183	typ_enh	0	0	3
atac_L17015	typ_enh	2	0	1
atac_L39729	typ_enh	2	0	0
atac_L40458	typ_enh	1	1	0
atac_L18799	typ_enh	1	0	1
atac_L14259	typ_enh	1	0	1
atac_L31132	typ_enh	3	1	1
atac_L27724	typ_enh	1	0	1
atac_L36738	typ_enh	0	0	1
atac_L19241	typ_enh	2	1	0
atac_P00274	typ_enh	0	0	0
atac_L12250	typ_enh	1	1	0
atac_L37469	typ_enh	2	1	2
atac_L10461	typ_enh	1	1	1
atac_L00323	typ_enh	1	0	1
atac_L37933	typ_enh	0	0	0
atac_L18825	typ_enh	0	0	0
atac_L28889	typ_enh	1	0	1
atac_L03355	typ_enh	0	0	1
atac_L03354	typ_enh	1	0	2
atac_L24293	typ_enh	0	0	2
atac_L00728	typ_enh	1	2	2
atac_L20514	typ_enh	3	1	1
atac_L12863	typ_enh	1	2	1
atac_L03344	typ_enh	0	0	0
atac_L06294	typ_enh	0	0	0
atac_L20497	typ_enh	0	0	1
atac_L29436	typ_enh	0	0	0
atac_L08051	typ_enh	1	0	1
atac_L27428	typ_enh	0	0	0
atac_L32263	typ_enh	0	0	2
atac_L26739	typ_enh	0	0	1
atac_L39124	typ_enh	0	0	2
atac_L24497	typ_enh	2	2	1
atac_L05951	typ_enh	1	0	0
atac_L36302	typ_enh	0	0	0
atac_L15869	typ_enh	1	0	0
atac_L28244	typ_enh	1	0	1
atac_L25525	typ_enh	0	0	0
atac_L05775	typ_enh	0	0	1
atac_L29376	typ_enh	0	0	3
atac_L28243	typ_enh	0	0	0
atac_L24309	typ_enh	2	0	0
atac_L00638	typ_enh	0	0	2
atac_L28990	typ_enh	1	2	0
atac_L29434	typ_enh	0	1	1
atac_L29537	typ_enh	0	0	1
atac_L05771	typ_enh	3	1	0
atac_L18800	typ_enh	0	0	0
atac_P03302	typ_enh	0	0	2
atac_L12864	typ_enh	1	1	0
atac_L19242	typ_enh	0	1	0
atac_L07267	typ_enh	0	0	1
atac_L18824	typ_enh	0	0	1
atac_L05950	typ_enh	1	2	0
atac_L25526	typ_enh	2	0	0
atac_L23036	typ_enh	1	1	1
atac_L36356	typ_enh	0	0	0
atac_L10782	typ_enh	3	1	0
atac_L00307	typ_enh	0	0	0
atac_L09381	typ_enh	2	0	1
atac_L09382	typ_enh	0	0	0
atac_L15256	typ_enh	2	4	0
atac_L31274	typ_enh	2	1	2
atac_L05949	typ_enh	0	0	0
atac_L38677	typ_enh	2	0	1
atac_L06605	typ_enh	2	1	3
atac_P03767	typ_enh	0	0	1
atac_L12289	typ_enh	2	2	0
atac_L23159	typ_enh	0	1	1
atac_L39119	typ_enh	0	0	0
atac_L06199	typ_enh	1	0	0
atac_L23964	typ_enh	1	1	1
atac_L10819	typ_enh	2	1	0
atac_L21556	typ_enh	1	0	0
atac_L39837	typ_enh	0	1	1
atac_L39341	typ_enh	0	0	1
atac_L01684	typ_enh	1	1	1
atac_L12759	typ_enh	1	1	1
atac_L36547	typ_enh	0	0	0
atac_L27624	typ_enh	3	1	1
atac_L20313	typ_enh	0	0	0
atac_L08973	typ_enh	2	0	1
atac_L33410	typ_enh	1	1	0
atac_L21763	typ_enh	0	0	1
atac_L36635	typ_enh	1	0	0
atac_L00637	typ_enh	1	0	0
atac_L39951	typ_enh	1	1	1
atac_L26701	typ_enh	0	0	0
atac_P03459	typ_enh	0	0	2
atac_L08972	typ_enh	3	0	3
atac_L18871	typ_enh	1	0	0
atac_L27756	typ_enh	0	0	0
atac_L07341	typ_enh	0	1	1
atac_L22976	typ_enh	1	0	1
atac_L08865	typ_enh	1	1	0
atac_L38246	typ_enh	1	0	1
atac_L12760	typ_enh	1	0	0
atac_L21937	typ_enh	0	0	1
atac_L13021	typ_enh	2	0	0
atac_L26984	typ_enh	0	0	2
atac_L07266	typ_enh	2	1	0
atac_L29323	typ_enh	1	0	0
atac_L06201	typ_enh	0	0	1
atac_L23896	typ_enh	0	0	0
atac_L15461	typ_enh	2	0	0
atac_L01046	typ_enh	0	0	1
atac_L00897	typ_enh	1	1	2
atac_L20498	typ_enh	1	2	0
atac_L39846	typ_enh	0	0	1
atac_L16936	typ_enh	2	1	1
atac_L24066	typ_enh	0	0	1
atac_L01053	typ_enh	1	0	1
atac_L21689	typ_enh	0	0	0
atac_L00719	typ_enh	1	2	0
atac_L04986	typ_enh	1	1	0
atac_L38158	typ_enh	1	1	0
atac_L39340	typ_enh	1	0	0
atac_L36509	typ_enh	0	0	1
atac_L00600	typ_enh	1	1	3
atac_L25804	typ_enh	0	0	1
atac_L20624	typ_enh	0	0	2
atac_L06554	typ_enh	1	2	1
atac_L03479	typ_enh	0	0	0
atac_L03374	typ_enh	6	3	0
atac_L25581	typ_enh	1	0	0
atac_L10835	typ_enh	0	0	0
atac_L00851	typ_enh	0	0	1
atac_L32511	typ_enh	1	0	1
atac_L12641	typ_enh	1	0	0
atac_L27700	typ_enh	0	0	2
atac_L24238	typ_enh	2	0	0
atac_L18153	typ_enh	2	0	2
atac_L21297	typ_enh	0	0	1
atac_L21690	typ_enh	0	1	2
atac_L34091	typ_enh	1	0	1
atac_L15403	typ_enh	0	0	1
atac_L25444	typ_enh	3	1	0
atac_L18608	typ_enh	1	0	0
atac_L03982	typ_enh	2	2	1
atac_P04441	typ_enh	0	2	0
atac_L23170	typ_enh	0	0	0
atac_L29322	typ_enh	0	2	1
atac_L33370	typ_enh	1	0	1
atac_L17320	typ_enh	1	0	0
atac_L03685	typ_enh	0	1	1
atac_L12519	typ_enh	2	0	0
atac_L36551	typ_enh	0	0	1
atac_L39606	typ_enh	1	0	0
atac_L39793	typ_enh	0	2	0
atac_L08017	typ_enh	0	1	1
atac_L20963	typ_enh	0	0	0
atac_L05778	typ_enh	1	0	1
atac_L12862	typ_enh	1	0	0
atac_L00852	typ_enh	2	1	0
atac_P06372	typ_enh	0	1	0
atac_L03342	typ_enh	0	0	1
atac_L06291	typ_enh	0	0	1
atac_L32415	typ_enh	0	0	0
atac_L07725	typ_enh	1	0	1
atac_L00680	typ_enh	0	0	1
atac_L12430	typ_enh	0	0	1
atac_L11293	typ_enh	0	0	0
atac_L07998	typ_enh	2	0	0
atac_L32261	typ_enh	0	0	2
atac_L07472	typ_enh	2	1	2
atac_L04625	typ_enh	3	2	1
atac_L07793	typ_enh	1	1	1
atac_L12496	typ_enh	1	0	0
atac_L28026	typ_enh	0	0	1
atac_L35683	typ_enh	1	0	1
atac_L28025	typ_enh	2	0	0
atac_L15277	typ_enh	1	0	0
atac_L28890	typ_enh	1	1	0
atac_L03925	typ_enh	1	1	3
atac_L36552	typ_enh	1	1	0
atac_L32128	typ_enh	1	0	0
atac_L11294	typ_enh	2	1	2
atac_L15458	typ_enh	0	0	2
atac_L33896	typ_enh	0	0	1
atac_L10824	typ_enh	0	0	0
atac_L16953	typ_enh	0	0	0
atac_L08999	typ_enh	0	0	0
atac_L17321	typ_enh	1	0	1
atac_L39263	typ_enh	0	0	0
atac_L36545	typ_enh	0	0	1
atac_L08015	typ_enh	1	0	1
atac_L20323	typ_enh	0	0	0
atac_L20769	typ_enh	1	0	0
atac_L15459	typ_enh	1	1	0
atac_L24306	typ_enh	2	1	0
atac_L16601	typ_enh	0	0	0
atac_L39468	typ_enh	1	0	1
atac_L12434	typ_enh	0	0	1
atac_L24282	typ_enh	2	2	0
atac_L01801	typ_enh	1	0	2
atac_L04794	typ_enh	0	0	0
atac_L04900	typ_enh	1	0	0
atac_L10633	typ_enh	0	0	0
atac_L36641	typ_enh	2	1	0
atac_L28469	typ_enh	2	3	0
atac_L27858	typ_enh	4	2	1
atac_L26652	typ_enh	0	1	3
atac_L15521	typ_enh	1	0	0
atac_L13763	typ_enh	1	1	0
atac_L24284	typ_enh	2	2	2
atac_L16895	typ_enh	0	0	0
atac_L08018	typ_enh	0	0	0
atac_L10593	typ_enh	0	0	0
atac_L13739	typ_enh	1	0	0
atac_L18692	typ_enh	2	0	1
atac_L36544	typ_enh	0	0	0
atac_P00527	typ_enh	1	0	1
atac_L33722	typ_enh	0	1	2
atac_L36124	typ_enh	2	0	0
atac_L33582	typ_enh	2	0	0
atac_L37387	typ_enh	1	0	1
atac_L14221	typ_enh	0	0	0
atac_L09279	typ_enh	2	3	0
atac_L29437	typ_enh	0	0	0
atac_L13788	typ_enh	1	0	0
atac_L17218	typ_enh	1	0	0
atac_L24077	typ_enh	0	0	2
atac_L32127	typ_enh	0	0	0
atac_L03061	typ_enh	1	4	0
atac_L09071	typ_enh	0	0	1
atac_L28980	typ_enh	1	1	0
atac_L07294	typ_enh	1	0	1
atac_L04901	typ_enh	2	2	0
atac_L08196	typ_enh	2	1	1
atac_L33516	typ_enh	1	2	1
atac_L20320	typ_enh	0	0	0
atac_L06322	typ_enh	1	2	1
atac_L33913	typ_enh	0	0	1
atac_L26996	typ_enh	1	1	0
atac_L20319	typ_enh	0	0	0
atac_P03839	typ_enh	0	2	2
atac_L25367	typ_enh	1	1	1
atac_L27176	typ_enh	1	0	1
atac_L35744	typ_enh	0	0	2
atac_L38190	typ_enh	0	0	0
atac_L35676	typ_enh	1	0	0
atac_L37991	typ_enh	0	0	0
atac_L10293	typ_enh	0	0	0
atac_L08934	typ_enh	2	2	0
atac_L10683	typ_enh	2	0	1
atac_L36433	typ_enh	2	1	1
atac_L03358	typ_enh	0	0	0
atac_L37232	typ_enh	1	0	1
atac_L26997	typ_enh	0	0	0
atac_L12534	typ_enh	1	0	0
atac_L36338	typ_enh	0	1	1
atac_L12497	typ_enh	2	0	0
atac_L24523	typ_enh	2	2	1
atac_L02006	typ_enh	2	0	0
atac_L11102	typ_enh	1	0	0
atac_L08868	typ_enh	2	0	0
atac_L27510	typ_enh	1	0	1
atac_L25159	typ_enh	4	3	2
atac_L36434	typ_enh	1	1	1
atac_L03654	typ_enh	1	1	0
atac_L15407	typ_enh	1	0	2
atac_L37937	typ_enh	0	1	0
atac_L37938	typ_enh	0	0	0
atac_L35288	typ_enh	3	1	0
atac_L39574	typ_enh	0	0	0
atac_L33607	typ_enh	1	0	0
atac_L38526	typ_enh	2	0	0
atac_L07794	typ_enh	0	0	0
atac_L23048	typ_enh	1	2	0
atac_L07444	typ_enh	1	0	2
atac_L34391	typ_enh	1	0	3
atac_L14015	typ_enh	0	0	0
atac_L04879	typ_enh	0	0	0
atac_L37472	typ_enh	0	0	0
atac_L01744	typ_enh	1	0	2
atac_L36290	typ_enh	1	0	1
atac_L00729	typ_enh	1	1	0
atac_L36616	typ_enh	3	2	0
atac_L36615	typ_enh	1	0	0
atac_L25364	typ_enh	1	2	0
atac_L03926	typ_enh	0	0	2
atac_L08891	typ_enh	0	0	1
atac_L20811	typ_enh	1	0	1
atac_L07406	typ_enh	2	0	0
atac_L20931	typ_enh	0	0	1
atac_L23963	typ_enh	0	0	0
atac_L17319	typ_enh	1	0	0
atac_L27818	typ_enh	0	3	0
atac_L20921	typ_enh	0	0	0
atac_L28126	typ_enh	0	0	1
atac_L36698	typ_enh	0	0	1
atac_L38373	typ_enh	0	0	0
atac_L33704	typ_enh	1	2	1
atac_L33078	typ_enh	1	0	0
atac_P07022	typ_enh	0	1	2
atac_L20041	typ_enh	1	1	0
atac_L02401	typ_enh	0	0	1
atac_P04339	typ_enh	1	0	0
atac_L27454	typ_enh	0	0	0
atac_L39810	typ_enh	2	1	0
atac_P07042	typ_enh	1	0	0
atac_L39612	typ_enh	2	0	0
atac_L27437	typ_enh	1	1	0
atac_L06131	typ_enh	0	0	1
atac_L27455	typ_enh	1	0	0
atac_L24063	typ_enh	0	0	1
atac_L12268	typ_enh	2	0	1
atac_L31664	typ_enh	0	0	1
atac_L24067	typ_enh	0	0	0
atac_L03357	typ_enh	0	1	2
atac_L38388	typ_enh	1	1	1
atac_L26999	typ_enh	1	0	0
atac_P05962	typ_enh	0	0	2
atac_L07712	typ_enh	1	0	0
atac_L24173	typ_enh	1	1	3
atac_P03868	typ_enh	0	0	1
atac_L31050	typ_enh	0	0	0
atac_L28531	typ_enh	2	0	1
atac_L12251	typ_enh	3	0	1
atac_L28007	typ_enh	0	0	0
atac_L33485	typ_enh	0	1	1
atac_L39848	typ_enh	1	0	1
atac_P00690	typ_enh	2	0	0
atac_L35965	typ_enh	0	0	0
atac_L36056	typ_enh	0	0	1
atac_L31660	typ_enh	2	0	1
atac_L07569	typ_enh	0	0	1
atac_L36557	typ_enh	0	0	1
atac_L17198	typ_enh	2	1	0
atac_L11058	typ_enh	1	4	1
atac_L00896	typ_enh	1	1	1
atac_L13863	typ_enh	0	0	0
atac_L15278	typ_enh	3	0	0
atac_L27535	typ_enh	3	1	1
atac_L33974	typ_enh	2	2	1
atac_L27850	typ_enh	0	1	0
atac_L36587	typ_enh	0	0	0
atac_L05965	typ_enh	0	0	0
atac_L07805	typ_enh	0	3	1
atac_L32398	typ_enh	3	0	0
atac_L33343	typ_enh	1	0	0
atac_L07195	typ_enh	1	0	1
atac_L36057	typ_enh	0	1	2
atac_L28470	typ_enh	0	0	0
atac_P00133	typ_enh	0	1	0
atac_L00884	typ_enh	0	0	1
atac_P04216	typ_enh	0	0	0
atac_L15641	typ_enh	0	0	0
atac_L23070	typ_enh	1	1	1
atac_L31631	typ_enh	0	0	0
atac_L01005	typ_enh	2	1	1
atac_L25491	typ_enh	2	3	2
atac_L18780	typ_enh	1	0	1
atac_L29240	typ_enh	0	1	0
atac_L03600	typ_enh	1	0	0
atac_L07791	typ_enh	1	0	1
atac_L36559	typ_enh	0	0	1
atac_L08917	typ_enh	1	2	0
atac_L31947	typ_enh	0	0	0
atac_L00786	typ_enh	1	0	0
atac_L12530	typ_enh	1	0	2
atac_L11129	typ_enh	1	0	0
atac_L04913	typ_enh	1	0	2
atac_L04769	typ_enh	1	0	0
atac_L04912	typ_enh	1	2	0
atac_L35101	typ_enh	1	1	1
atac_L15046	typ_enh	2	1	0
atac_L26557	typ_enh	0	0	0
atac_L15664	typ_enh	0	0	2
atac_L01607	typ_enh	0	0	1
atac_L28991	typ_enh	2	2	1
atac_L18427	typ_enh	0	0	2
atac_L37468	typ_enh	1	0	1
atac_L10377	typ_enh	0	1	1
atac_L08665	typ_enh	1	1	0
atac_L15411	typ_enh	0	0	0
atac_L35285	typ_enh	1	1	1
atac_L33512	typ_enh	1	1	0
atac_L08918	typ_enh	1	1	1
atac_L23165	typ_enh	0	1	1
atac_L16875	typ_enh	2	1	0
atac_L38665	typ_enh	0	0	0
atac_L01821	typ_enh	1	1	1
atac_L15369	typ_enh	0	2	2
atac_L01116	typ_enh	1	0	1
atac_L07602	typ_enh	0	0	0
atac_L13873	typ_enh	0	1	0
atac_L27074	typ_enh	1	0	1
atac_L03670	typ_enh	1	0	0
atac_L12181	typ_enh	0	0	1
atac_L14239	typ_enh	1	4	0
atac_L39354	typ_enh	1	1	0
atac_L19145	typ_enh	0	1	0
atac_L15324	typ_enh	0	0	0
atac_L06553	typ_enh	3	1	0
atac_L39266	typ_enh	1	1	1
atac_L00838	typ_enh	1	1	2
atac_L12045	typ_enh	0	0	3
atac_L23463	typ_enh	0	0	0
atac_L36534	typ_enh	0	0	0
atac_L07622	typ_enh	3	2	1
atac_L12206	typ_enh	1	1	1
atac_L31726	typ_enh	0	0	2
atac_L13913	typ_enh	2	1	0
atac_L10544	typ_enh	0	0	1
atac_L33050	typ_enh	3	2	0
atac_L20247	typ_enh	0	0	0
atac_L20349	typ_enh	2	0	0
atac_L33623	typ_enh	0	0	0
atac_L08399	typ_enh	0	0	0
atac_L07451	typ_enh	1	0	1
atac_L00221	typ_enh	0	1	2
atac_L27075	typ_enh	0	0	1
atac_L33694	typ_enh	0	2	1
atac_L32232	typ_enh	2	0	1
atac_L03125	typ_enh	0	0	0
atac_L03362	typ_enh	1	1	0
atac_L14220	typ_enh	1	1	1
atac_P06399	typ_enh	0	0	1
atac_L24110	typ_enh	0	0	0
atac_L21298	typ_enh	2	1	1
atac_P02852	typ_enh	0	0	4
atac_L10930	typ_enh	0	0	0
atac_L36533	typ_enh	0	0	2
atac_L14013	typ_enh	0	0	0
atac_L33809	typ_enh	0	0	4
atac_P00327	typ_enh	2	2	0
atac_L31828	typ_enh	0	0	1
atac_L03363	typ_enh	3	1	1
atac_L39517	typ_enh	2	1	0
atac_L05855	typ_enh	2	0	1
atac_L31195	typ_enh	0	0	0
atac_P04265	typ_enh	1	0	0
atac_L18228	typ_enh	1	0	2
atac_L20578	typ_enh	1	1	3
atac_L32233	typ_enh	1	0	0
atac_L13841	typ_enh	2	1	0
atac_L31629	typ_enh	1	1	0
atac_L07788	typ_enh	0	1	2
atac_L33409	typ_enh	1	0	0
atac_P00718	typ_enh	0	1	0
atac_L20350	typ_enh	0	0	0
atac_L08666	typ_enh	3	1	1
atac_L23961	typ_enh	1	1	0
atac_L05784	typ_enh	1	0	3
atac_L08757	typ_enh	0	0	2
atac_L32311	typ_enh	0	0	1
atac_L21692	typ_enh	0	0	1
atac_L20929	typ_enh	0	0	1
atac_L39916	typ_enh	0	0	0
atac_P01493	typ_enh	0	0	1
atac_L08748	typ_enh	0	0	1
atac_L03671	typ_enh	0	0	0
atac_L27875	typ_enh	0	0	1
atac_L11006	typ_enh	2	2	2
atac_L19147	typ_enh	0	1	2
atac_L31625	typ_enh	0	2	0
atac_L07989	typ_enh	2	1	0
atac_L31342	typ_enh	1	0	1
atac_L31630	typ_enh	0	0	2
atac_L03124	typ_enh	0	0	0
atac_P01572	typ_enh	0	0	0
atac_L20616	typ_enh	1	0	2
atac_L26925	typ_enh	1	1	1
atac_L18252	typ_enh	2	3	1
atac_L32132	typ_enh	1	0	0
atac_L02491	typ_enh	2	1	1
atac_L00681	typ_enh	0	0	1
atac_L14171	typ_enh	1	1	0
atac_L00599	typ_enh	1	0	0
atac_L04598	typ_enh	0	0	3
atac_P02115	typ_enh	0	0	0
atac_L29438	typ_enh	0	0	0
atac_L07293	typ_enh	0	0	0
atac_L33735	typ_enh	0	0	0
atac_L39805	typ_enh	1	0	0
atac_L14374	typ_enh	1	0	0
atac_L38962	typ_enh	1	1	1
atac_L36418	typ_enh	2	0	0
atac_L20791	typ_enh	0	0	0
atac_L13894	typ_enh	0	1	0
atac_L36462	typ_enh	1	1	0
atac_P02645	typ_enh	0	0	0
atac_L01977	typ_enh	2	0	0
atac_L35021	typ_enh	0	1	4
atac_L27508	typ_enh	2	1	1
atac_L18805	typ_enh	2	0	1
atac_L07270	typ_enh	1	0	1
atac_L36550	typ_enh	1	1	0
atac_L28517	typ_enh	0	1	1
atac_P03765	typ_enh	0	0	2
atac_L33351	typ_enh	1	0	0
atac_L13795	typ_enh	1	1	0
atac_L01976	typ_enh	1	0	1
atac_L36589	typ_enh	3	2	0
atac_P04363	typ_enh	3	2	1
atac_L37823	typ_enh	2	2	0
atac_L22001	typ_enh	0	1	0
atac_L15119	typ_enh	3	0	0
atac_L26572	typ_enh	0	1	1
atac_L31915	typ_enh	0	0	0
atac_P02929	typ_enh	0	0	0
atac_L25868	typ_enh	1	1	1
atac_L36270	typ_enh	1	0	1
atac_L24281	typ_enh	3	0	0
atac_L12233	typ_enh	1	0	0
atac_L02131	typ_enh	1	0	2
atac_L22978	typ_enh	2	0	0
atac_L32211	typ_enh	1	1	1
atac_L01841	typ_enh	0	0	1
atac_L31480	typ_enh	1	0	1
atac_L33344	typ_enh	0	0	1
atac_L38497	typ_enh	1	0	2
atac_L29080	typ_enh	0	0	1
atac_L32437	typ_enh	2	1	0
atac_L16581	typ_enh	0	0	0
atac_L01978	typ_enh	0	0	0
atac_L14667	typ_enh	1	1	2
atac_L38507	typ_enh	0	1	1
atac_L03018	typ_enh	0	1	1
atac_L11590	typ_enh	0	0	0
atac_L35451	typ_enh	0	0	0
atac_L29186	typ_enh	0	0	0
atac_L17079	typ_enh	1	0	0
atac_P03303	typ_enh	1	1	2
atac_L07437	typ_enh	1	1	0
atac_L32212	typ_enh	2	0	0
atac_L04444	typ_enh	1	0	1
atac_L15651	typ_enh	0	0	3
atac_L36337	typ_enh	0	0	1
atac_L24167	typ_enh	1	0	1
atac_L20930	typ_enh	2	1	2
atac_L20792	typ_enh	2	2	1
atac_L00546	typ_enh	0	1	2
atac_L13733	typ_enh	0	0	1
atac_L20590	typ_enh	1	0	2
atac_L15318	typ_enh	0	0	0
atac_L02304	typ_enh	1	1	1
atac_P00269	typ_enh	0	0	0
atac_P07035	typ_enh	0	0	1
atac_L15120	typ_enh	1	1	0
atac_L33949	typ_enh	0	0	1
atac_L05467	typ_enh	2	0	2
atac_L03098	typ_enh	0	1	2
atac_L09182	typ_enh	0	0	3
atac_L13633	typ_enh	0	0	2
atac_L08756	typ_enh	0	0	1
atac_L31481	typ_enh	0	0	0
atac_L20081	typ_enh	1	0	0
atac_L12975	typ_enh	0	0	1
atac_L07151	typ_enh	1	0	1
atac_L16191	typ_enh	1	0	3
atac_L20407	typ_enh	0	0	1
atac_L27695	typ_enh	0	0	1
atac_L00901	typ_enh	0	0	0
atac_L04443	typ_enh	0	1	0
atac_L18251	typ_enh	0	0	0
atac_L26933	typ_enh	2	1	0
atac_L00885	typ_enh	0	0	0
atac_L36603	typ_enh	1	1	1
atac_L17013	typ_enh	0	0	1
atac_L03183	typ_enh	0	2	0
atac_L03259	typ_enh	1	1	2
atac_L08852	typ_enh	0	0	0
atac_L31805	typ_enh	0	0	0
atac_L03767	typ_enh	1	0	0
atac_L12693	typ_enh	1	0	0
atac_P01270	typ_enh	2	1	1
atac_P05268	typ_enh	0	1	0
atac_L23999	typ_enh	2	0	0
atac_L02292	typ_enh	0	0	0
atac_P06026	typ_enh	0	1	1
atac_L39993	typ_enh	1	1	1
atac_L33622	typ_enh	2	1	0
atac_L31278	typ_enh	0	1	1
atac_L01974	typ_enh	1	2	0
atac_L34197	typ_enh	0	0	0
atac_L08758	typ_enh	0	0	0
atac_L36590	typ_enh	1	0	0
atac_L07789	typ_enh	0	0	1
atac_L03381	typ_enh	0	1	0
atac_L35100	typ_enh	1	0	3
atac_L33624	typ_enh	1	0	0
atac_L18607	typ_enh	0	0	0
atac_L00872	typ_enh	0	0	3
atac_L07785	typ_enh	1	0	1
atac_L20747	typ_enh	0	0	1
atac_L14372	typ_enh	1	2	3
atac_L27179	typ_enh	1	1	1
atac_P02778	typ_enh	1	0	0
atac_L33950	typ_enh	0	0	0
atac_L15833	typ_enh	0	1	0
atac_L38043	typ_enh	2	1	0
atac_L39545	typ_enh	1	1	0
atac_L08045	typ_enh	1	0	1
atac_L27874	typ_enh	0	0	0
atac_L35501	typ_enh	0	0	0
atac_L04415	typ_enh	2	1	0
atac_L39627	typ_enh	0	0	1
atac_L06350	typ_enh	0	0	0
atac_L13073	typ_enh	1	0	1
atac_L08674	typ_enh	0	0	0
atac_L14044	typ_enh	0	0	1
atac_L36592	typ_enh	0	0	1
atac_L39546	typ_enh	0	0	0
