Gene	nps_effect	dist_to_k4me1_enh_strict	dist_to_k4me2_enh_strict	dist_to_k4me1_enh_loose	dist_to_k4me2_enh_loose	within100kb_k4me1_enh	within100kb_k4me2_enh	within1Mb_k4me1_enh	within1Mb_k4me2_enh
ENSDARG00000116491	Down	21577	238166	2502	12244	strict	loose	strict	strict
ENSDARG00000102389	Down	4297	255446	1840	4742	strict	loose	strict	strict
ENSDARG00000059327	Down	4312	1533757	4312	528616	strict	no	strict	loose
ENSDARG00000018260	Down	2662	503670	2662	19027	strict	loose	strict	strict
ENSDARG00000097452	Down	7112	513657	6921	9040	strict	loose	strict	strict
ENSDARG00000073699	Down	277222	2831337	277222	1499426	no	no	strict	no
ENSDARG00000058824	Down	247433	2861126	247433	1469637	no	no	strict	no
ENSDARG00000031907	Down	149815	5397	3514	3109	loose	strict	strict	strict
ENSDARG00000099121	Down	140838	597466	140838	255195	no	no	strict	strict
ENSDARG00000040764	Down	2271	314240	2271	515	strict	loose	strict	strict
ENSDARG00000056995	Down	258040	74703	16988	74703	loose	strict	strict	strict
ENSDARG00000088178	Down	261175	77838	13853	77838	loose	strict	strict	strict
ENSDARG00000025718	Down	540793	15314	194741	15314	no	strict	strict	strict
ENSDARG00000033609	Down	471625	10391	217300	10391	no	strict	strict	strict
ENSDARG00000015546	Down	500248	1349228	293909	230430	no	no	strict	loose
ENSDARG00000070360	Down	25096	15965	25096	1762	strict	strict	strict	strict
ENSDARG00000086826	Down	2359	284701	2359	122342	strict	no	strict	strict
ENSDARG00000102430	Down	418476	83322	320430	83322	no	strict	strict	strict
ENSDARG00000115153	Down	79362	1725552	79362	24861	strict	loose	strict	loose
ENSDARG00000002487	Down	601213	427869	374181	419672	no	no	strict	strict
ENSDARG00000033999	Down	12933	932234	12933	2017	strict	loose	strict	strict
ENSDARG00000026294	Down	33408	452351	33408	452351	strict	no	strict	strict
ENSDARG00000057531	Down	3058	422001	3058	422001	strict	no	strict	strict
ENSDARG00000033537	Down	70330	348458	70330	348458	strict	no	strict	strict
ENSDARG00000062817	Down	119227	557553	119227	557553	no	no	strict	strict
ENSDARG00000055630	Down	728854	1191746	864	180086	loose	no	strict	loose
ENSDARG00000055381	Down	95792	514726	13178	514726	strict	no	strict	strict
ENSDARG00000018303	Down	4068	16865	4068	16865	strict	strict	strict	strict
ENSDARG00000015906	Down	204673	310847	204673	310847	no	no	strict	strict
ENSDARG00000057484	Down	12862	682170	2111	34949	strict	loose	strict	strict
ENSDARG00000057481	Down	8159	677467	1892	30246	strict	loose	strict	strict
ENSDARG00000071425	Down	55438	611613	27799	35499	strict	loose	strict	strict
ENSDARG00000100121	Down	2933	853418	2933	947	strict	loose	strict	strict
ENSDARG00000045036	Down	85110	2131	85110	2131	strict	strict	strict	strict
ENSDARG00000101279	Down	529724	29943	17336	29943	loose	strict	strict	strict
ENSDARG00000037618	Down	664954	165173	152566	72929	no	loose	strict	strict
ENSDARG00000094249	Down	570904	5721208	515101	904436	no	no	strict	loose
ENSDARG00000117000	Down	240161	5390465	240161	573693	no	no	strict	loose
ENSDARG00000109443	Down	32918	3274186	32918	97913	strict	loose	strict	loose
ENSDARG00000020219	Down	94797	173840	33262	2248	strict	loose	strict	strict
ENSDARG00000057886	Down	758115	526778	1465	526778	loose	no	strict	strict
ENSDARG00000021201	Down	2993	2282762	2993	686880	strict	no	strict	loose
ENSDARG00000057273	Down	267224	5481539	267224	22369	no	loose	strict	loose
ENSDARG00000069382	Down	168825	4123512	168825	13479	no	loose	strict	loose
ENSDARG00000038639	Down	156994	4111681	156994	1648	no	loose	strict	loose
ENSDARG00000076135	Down	86849	3137581	86849	52386	strict	loose	strict	loose
ENSDARG00000093584	Down	116566	3107864	116566	22669	no	loose	strict	loose
ENSDARG00000003399	Down	27443	658795	24992	46612	strict	loose	strict	strict
ENSDARG00000114574	Down	120698	445332	120698	445332	no	no	strict	strict
ENSDARG00000037116	Down	2199	563831	2199	403434	strict	no	strict	strict
ENSDARG00000039269	Down	259066	2000186	146006	1048	no	loose	strict	loose
ENSDARG00000116199	Down	34663	1373507	34663	26154	strict	loose	strict	loose
ENSDARG00000075561	Down	18157	1357001	18157	9648	strict	loose	strict	loose
ENSDARG00000069192	Down	14385	1353229	14385	5876	strict	loose	strict	loose
ENSDARG00000007795	Down	2210	1341054	2210	5886	strict	loose	strict	loose
ENSDARG00000104106	Down	2201	1336559	2201	10381	strict	loose	strict	loose
ENSDARG00000103298	Down	3577	1335183	3577	11757	strict	loose	strict	loose
ENSDARG00000076895	Down	3679	1202387	3679	68052	strict	loose	strict	loose
ENSDARG00000020541	Down	3581	231221	3581	231221	strict	no	strict	strict
ENSDARG00000056986	Down	16431	860394	2928	719931	strict	no	strict	strict
ENSDARG00000005010	Down	40194	199921	2984	180824	strict	no	strict	strict
ENSDARG00000095283	Down	15629	175356	4292	156259	strict	no	strict	strict
ENSDARG00000074235	Down	15070	21184	15070	2087	strict	strict	strict	strict
ENSDARG00000052856	Down	2389	3010	2389	3010	strict	strict	strict	strict
ENSDARG00000079524	Down	285354	312915	285354	24782	no	loose	strict	strict
ENSDARG00000039020	Down	365701	404702	162431	14251	no	loose	strict	strict
ENSDARG00000074695	Down	209858	217835	209858	217835	no	no	strict	strict
ENSDARG00000100483	Down	3362	842553	2149	9240	strict	loose	strict	strict
ENSDARG00000099761	Down	5805	851991	4402	111	strict	loose	strict	strict
ENSDARG00000021566	Down	2330103	451753	35435	339534	loose	no	loose	strict
ENSDARG00000078518	Down	3903	650612	3742	650612	strict	no	strict	strict
ENSDARG00000079009	Down	399318	1263318	399318	215437	no	no	strict	loose
ENSDARG00000089094	Down	405235	390199	405235	135284	no	no	strict	strict
ENSDARG00000098293	Down	56082	188626	1772	188626	strict	no	strict	strict
ENSDARG00000113299	Down	34035	654149	34035	609781	strict	no	strict	strict
ENSDARG00000053684	Down	3202	934553	3202	568453	strict	no	strict	strict
ENSDARG00000104037	Down	13660	917529	11570	551429	strict	no	strict	strict
ENSDARG00000102162	Down	4101	799592	4101	257055	strict	no	strict	strict
ENSDARG00000075666	Down	122301	3143716	122301	40826	no	loose	strict	loose
ENSDARG00000002707	Down	357011	604826	1903	1533	loose	loose	strict	strict
ENSDARG00000008796	Down	359149	602688	24	490	loose	loose	strict	strict
ENSDARG00000061566	Down	15079	248520	15079	75860	strict	loose	strict	strict
ENSDARG00000012025	Down	55333	57858	55333	57858	strict	strict	strict	strict
ENSDARG00000015472	Down	8356	5659	8356	5659	strict	strict	strict	strict
ENSDARG00000071497	Down	28749	410691	24732	100545	strict	no	strict	strict
ENSDARG00000053569	Down	11244	63194	11244	2060	strict	strict	strict	strict
ENSDARG00000073870	Down	17325	2595	17325	2595	strict	strict	strict	strict
ENSDARG00000031929	Down	4490	10044	4490	10044	strict	strict	strict	strict
ENSDARG00000052910	Down	185375	5181	2341	5181	loose	strict	strict	strict
ENSDARG00000078507	Down	188308	2248	5274	2248	loose	strict	strict	strict
ENSDARG00000036175	Down	4072	106820	1666	35321	strict	loose	strict	strict
ENSDARG00000100564	Down	11055	1156760	11055	69713	strict	loose	strict	loose
ENSDARG00000036162	Down	4265	1193000	4265	105953	strict	no	strict	loose
ENSDARG00000052575	Down	468071	75148	236414	75148	no	strict	strict	strict
ENSDARG00000060977	Down	32587	819663	32587	39924	strict	loose	strict	strict
ENSDARG00000077726	Down	385697	138124	1760	60575	loose	loose	strict	strict
ENSDARG00000101423	Down	6125	1561252	47	240	strict	loose	strict	loose
ENSDARG00000086223	Down	428643	1015705	428643	157296	no	no	strict	loose
ENSDARG00000069966	Down	455283	989065	455283	183936	no	no	strict	strict
ENSDARG00000098031	Down	469321	975027	469321	197974	no	no	strict	strict
ENSDARG00000097125	Down	546109	898239	546109	274762	no	no	strict	strict
ENSDARG00000058917	Down	4993	2607	4993	2607	strict	strict	strict	strict
ENSDARG00000043128	Down	389106	467391	130356	11356	no	loose	strict	strict
ENSDARG00000098999	Down	2815	218808	2815	218808	strict	no	strict	strict
ENSDARG00000040725	Down	2226	234393	2226	1087	strict	loose	strict	strict
ENSDARG00000104960	Down	191785	423328	191785	208711	no	no	strict	strict
ENSDARG00000006615	Down	528676	353794	528676	353794	no	no	strict	strict
ENSDARG00000058538	Down	3711	49743	2652	4338	strict	strict	strict	strict
ENSDARG00000017710	Down	203963	21183	203963	624	no	strict	strict	strict
ENSDARG00000055493	Down	93067	1297516	93067	114187	strict	no	strict	loose
ENSDARG00000101197	Down	361724	948928	381	295216	loose	no	strict	strict
ENSDARG00000103603	Down	277094	284744	277094	7867	no	loose	strict	strict
ENSDARG00000099430	Down	5900	13550	5900	13550	strict	strict	strict	strict
ENSDARG00000038378	Down	43134	35437	43134	35437	strict	strict	strict	strict
ENSDARG00000006110	Down	445020	103918	445020	103918	no	no	strict	strict
ENSDARG00000058992	Down	445982	2546	314220	453	no	strict	strict	strict
ENSDARG00000101980	Down	77293	2418880	77293	403181	strict	no	strict	loose
ENSDARG00000022807	Down	8304	1959723	8304	1188882	strict	no	strict	no
ENSDARG00000036987	Down	7871	3028	1884	3028	strict	strict	strict	strict
ENSDARG00000043460	Down	365670	434682	365670	434682	no	no	strict	strict
ENSDARG00000056666	Down	53549	687360	53549	1241	strict	loose	strict	strict
ENSDARG00000018787	Down	4892	2545	4338	2545	strict	strict	strict	strict
ENSDARG00000040295	Down	150490	40768	1837	3496	loose	strict	strict	strict
ENSDARG00000092170	Down	139039	29317	4	7746	loose	strict	strict	strict
ENSDARG00000075614	Down	135455	25733	3588	11330	loose	strict	strict	strict
ENSDARG00000011245	Down	4437	312987	4437	61013	strict	loose	strict	strict
ENSDARG00000076568	Down	358270	860663	356587	400618	no	no	strict	strict
ENSDARG00000094881	Down	10987	1035554	10987	718062	strict	no	strict	loose
ENSDARG00000086126	Down	459868	134584	451519	8581	no	loose	strict	strict
ENSDARG00000039943	Down	5350	3429	5350	3429	strict	strict	strict	strict
ENSDARG00000112132	Down	340954	490495	69584	79243	loose	loose	strict	strict
ENSDARG00000070081	Down	256941	574508	44520	4617	loose	loose	strict	strict
ENSDARG00000002267	Down	256231	535954	256231	4643	no	loose	strict	strict
ENSDARG00000062517	Down	88183	34513	10070	8162	strict	strict	strict	strict
ENSDARG00000044685	Down	7555	2178216	6233	52655	strict	loose	strict	loose
ENSDARG00000044059	Down	84013	842974	1939	2292	strict	loose	strict	strict
ENSDARG00000101635	Down	6855	2022	6364	2022	strict	strict	strict	strict
ENSDARG00000059073	Down	6511	14891	1437	3791	strict	strict	strict	strict
ENSDARG00000061773	Down	215228	1160470	1044	548520	loose	no	strict	loose
ENSDARG00000056836	Down	115443	33891	17007	22875	loose	strict	strict	strict
ENSDARG00000078552	Down	3473	275022	3473	166355	strict	no	strict	strict
ENSDARG00000061391	Down	659428	802860	659428	61235	no	loose	strict	strict
ENSDARG00000024602	Down	161885	146210	161885	101270	no	no	strict	strict
ENSDARG00000077811	Down	5350	2652380	5350	87786	strict	loose	strict	loose
ENSDARG00000097825	Down	223653	229063	223653	229063	no	no	strict	strict
ENSDARG00000002353	Down	514679	1164764	514679	941218	no	no	strict	loose
ENSDARG00000097776	Down	134105	1103426	3024	1544	loose	loose	strict	loose
ENSDARG00000044847	Down	8947	410868	7465	115357	strict	no	strict	strict
ENSDARG00000053263	Down	8662	410583	7180	115642	strict	no	strict	strict
ENSDARG00000078419	Down	292970	25064	15039	19662	loose	strict	strict	strict
ENSDARG00000109703	Down	311070	6964	2837	1562	loose	strict	strict	strict
ENSDARG00000114211	Down	315518	2516	7285	1138	loose	strict	strict	strict
ENSDARG00000111442	Down	320596	2437	12363	2437	loose	strict	strict	strict
ENSDARG00000116570	Down	324168	6009	15935	3600	loose	strict	strict	strict
ENSDARG00000115096	Down	329807	11648	21574	1953	loose	strict	strict	strict
ENSDARG00000077712	Down	333580	15421	25347	5726	loose	strict	strict	strict
ENSDARG00000099724	Down	191158	135867	191158	9855	no	loose	strict	strict
ENSDARG00000093381	Down	872490	3424705	396036	393843	no	no	strict	loose
ENSDARG00000012248	Down	64145	2646911	2827	1164579	strict	no	strict	no
ENSDARG00000093764	Down	137378	1063295	137378	176548	no	no	strict	loose
ENSDARG00000040557	Down	187114	700249	187114	657571	no	no	strict	strict
ENSDARG00000011533	Down	16049	2855	6427	393	strict	strict	strict	strict
ENSDARG00000067730	Down	585124	1410375	120174	225158	no	no	strict	loose
ENSDARG00000055043	Down	505816	1038017	940	31018	loose	loose	strict	loose
ENSDARG00000012788	Down	13772	683717	861	14788	strict	loose	strict	strict
ENSDARG00000040503	Down	2505	4497	2505	4227	strict	strict	strict	strict
ENSDARG00000035694	Down	2500	693453	2500	342127	strict	no	strict	strict
ENSDARG00000113654	Down	525126	1521159	200509	485499	no	no	strict	loose
ENSDARG00000030449	Down	2309	866067	2309	651753	strict	no	strict	strict
ENSDARG00000077877	Down	373229	63087	373229	63087	no	strict	strict	strict
ENSDARG00000100396	Down	92451	936443	92451	69670	strict	loose	strict	strict
ENSDARG00000004017	Down	977096	37380	87243	37380	loose	strict	strict	strict
ENSDARG00000012040	Down	1070072	55397	2495	55397	loose	strict	loose	strict
ENSDARG00000101576	Down	24554	1061509	24554	262571	strict	no	strict	loose
ENSDARG00000016999	Down	5115	190116	5115	190116	strict	no	strict	strict
ENSDARG00000116617	Down	152604	739994	28356	115526	loose	no	strict	strict
ENSDARG00000069150	Down	80718	513495	80718	513495	strict	no	strict	strict
ENSDARG00000070705	Down	4787	427872	736	427872	strict	no	strict	strict
ENSDARG00000012044	Down	378612	2455	378612	2455	no	strict	strict	strict
ENSDARG00000097873	Down	12026	369041	12026	369041	strict	no	strict	strict
ENSDARG00000103700	Down	218999	600581	81077	271876	loose	no	strict	strict
ENSDARG00000095427	Down	670808	1328235	426002	10900	no	loose	strict	loose
ENSDARG00000035715	Down	10478	5130	1770	5130	strict	strict	strict	strict
ENSDARG00000070480	Down	4299	611139	4299	465438	strict	no	strict	strict
ENSDARG00000033182	Down	14446	481778	14446	270753	strict	no	strict	strict
ENSDARG00000070538	Down	7715	21334	7715	21334	strict	strict	strict	strict
ENSDARG00000093129	Down	126349	2481	5871	2481	loose	strict	strict	strict
ENSDARG00000035680	Down	130102	6234	2118	4180	loose	strict	strict	strict
ENSDARG00000023989	Down	275848	1252417	275848	69565	no	loose	strict	loose
ENSDARG00000070228	Down	277179	680570	4896	680570	loose	no	strict	strict
ENSDARG00000095328	Down	494199	506722	295940	83619	no	loose	strict	strict
ENSDARG00000054804	Down	584404	596927	386145	6185	no	loose	strict	strict
ENSDARG00000020850	Down	4046	20763	3804	2976	strict	strict	strict	strict
ENSDARG00000109996	Down	6846	23563	6604	5776	strict	strict	strict	strict
ENSDARG00000030340	Down	239236	464730	239236	409225	no	no	strict	strict
ENSDARG00000103589	Down	122251	82003	122251	74615	no	strict	strict	strict
ENSDARG00000078986	Down	141466	136871	9328	1212	loose	loose	strict	strict
ENSDARG00000016253	Down	128769	124174	2945	11401	loose	loose	strict	strict
ENSDARG00000057184	Down	121644	117049	10070	18526	loose	loose	strict	strict
ENSDARG00000038862	Down	163360	879861	55377	18045	loose	loose	strict	strict
ENSDARG00000045421	Down	8551	813451	8551	262650	strict	no	strict	strict
ENSDARG00000094081	Down	7393	1094200	7393	14628	strict	loose	strict	loose
ENSDARG00000038784	Down	10906	1480128	10906	10382	strict	loose	strict	loose
ENSDARG00000038785	Down	2545	1488489	2545	2021	strict	loose	strict	loose
ENSDARG00000038792	Down	2976	2301522	2976	902	strict	loose	strict	loose
ENSDARG00000005058	Down	10349	591518	1927	264681	strict	no	strict	strict
ENSDARG00000068021	Down	6645	595222	1640	268385	strict	no	strict	strict
ENSDARG00000091280	Down	213671	225043	213671	225043	no	no	strict	strict
ENSDARG00000038569	Down	109554	317824	19006	97096	loose	loose	strict	strict
ENSDARG00000110341	Down	62348	80681	62348	80681	strict	strict	strict	strict
ENSDARG00000025372	Down	80889	62140	80889	62140	strict	strict	strict	strict
ENSDARG00000039070	Down	106140	36889	106140	36889	no	strict	strict	strict
ENSDARG00000040432	Down	6534	24202	1206	24202	strict	strict	strict	strict
ENSDARG00000041435	Down	690190	294368	684862	218089	no	no	strict	strict
ENSDARG00000105127	Down	2792	777349	2792	8977	strict	loose	strict	strict
ENSDARG00000067817	Down	620597	1506832	90907	99892	loose	loose	strict	loose
ENSDARG00000069661	Down	2011653	1211362	1072464	415066	no	no	no	loose
ENSDARG00000019747	Down	1299996	499705	360807	6560	no	loose	loose	strict
ENSDARG00000043843	Down	111669	688475	111669	38482	no	loose	strict	strict
ENSDARG00000005481	Down	5316	4961	5316	4961	strict	strict	strict	strict
ENSDARG00000013966	Down	7893	6100	7893	6100	strict	strict	strict	strict
ENSDARG00000018693	Down	3556	532414	3556	404772	strict	no	strict	strict
ENSDARG00000042698	Down	165347	135866	165347	135866	no	no	strict	strict
ENSDARG00000055678	Down	9247	29087	1336	29087	strict	strict	strict	strict
ENSDARG00000070434	Down	5275	464726	5275	1964	strict	loose	strict	strict
ENSDARG00000042566	Down	9992	118498	9992	118498	strict	no	strict	strict
ENSDARG00000006837	Down	21953	102941	21953	33116	strict	loose	strict	strict
ENSDARG00000079036	Down	646844	270794	2014	1871	loose	loose	strict	strict
ENSDARG00000030905	Down	294008	825838	1922	245871	loose	no	strict	strict
ENSDARG00000069252	Down	11876	70736	11876	3628	strict	strict	strict	strict
ENSDARG00000042344	Down	118490	1977411	38375	783285	loose	no	strict	loose
ENSDARG00000041430	Down	2022	2002188	2022	662370	strict	no	strict	loose
ENSDARG00000103380	Down	796712	1027524	3036	221302	loose	no	strict	loose
ENSDARG00000052511	Down	174052	404864	160813	1404	no	loose	strict	strict
ENSDARG00000092181	Down	7410	275201	7410	275201	strict	no	strict	strict
ENSDARG00000091598	Down	285501	490659	285501	242735	no	no	strict	strict
ENSDARG00000009653	Down	2406988	102629	58062	82224	loose	loose	loose	strict
ENSDARG00000090387	Down	973473	912318	258260	490278	no	no	strict	strict
ENSDARG00000101593	Down	542572	481417	4208	59377	loose	loose	strict	strict
ENSDARG00000099009	Down	477553	416398	24369	5558	loose	loose	strict	strict
ENSDARG00000102321	Down	467601	406446	14417	606	loose	loose	strict	strict
ENSDARG00000102731	Down	454120	392965	936	14087	loose	loose	strict	strict
ENSDARG00000101790	Down	442596	381441	1484	25611	loose	loose	strict	strict
ENSDARG00000103795	Down	382490	321335	22210	85717	loose	loose	strict	strict
ENSDARG00000060980	Down	267621	8095	251441	7774	no	strict	strict	strict
ENSDARG00000103554	Down	4118	2944	4118	2944	strict	strict	strict	strict
ENSDARG00000037963	Down	235218	28909	235218	28909	no	strict	strict	strict
ENSDARG00000028900	Down	14631	205250	14631	26520	strict	loose	strict	strict
ENSDARG00000099284	Down	3159	184054	3159	5324	strict	loose	strict	strict
ENSDARG00000044774	Down	9056	357179	2117	60431	strict	loose	strict	strict
ENSDARG00000094859	Down	477639	2054	461648	2054	no	strict	strict	strict
ENSDARG00000095025	Down	10817	854543	10817	153976	strict	no	strict	strict
ENSDARG00000009544	Down	5895	837738	5895	137171	strict	no	strict	strict
ENSDARG00000037012	Down	848113	117831	338209	117831	no	no	strict	strict
ENSDARG00000102482	Down	79724	846548	78997	4421	strict	loose	strict	strict
ENSDARG00000010238	Down	148714	50269	148714	25748	no	strict	strict	strict
ENSDARG00000054307	Down	80664	157169	78805	20297	strict	loose	strict	strict
ENSDARG00000069105	Down	4527	2872	4527	2872	strict	strict	strict	strict
ENSDARG00000105114	Down	821902	748110	414704	748110	no	no	strict	strict
ENSDARG00000068732	Down	4137	939403	4137	661	strict	loose	strict	strict
ENSDARG00000104894	Down	517734	18495	5703	14919	loose	strict	strict	strict
ENSDARG00000095745	Down	526282	27043	2739	23467	loose	strict	strict	strict
ENSDARG00000040141	Down	541665	42426	18122	38850	loose	strict	strict	strict
ENSDARG00000099890	Down	571577	72338	48034	68762	loose	strict	strict	strict
ENSDARG00000099317	Down	809406	310167	285863	306591	no	no	strict	strict
ENSDARG00000115890	Down	949860	257049	426317	257049	no	no	strict	strict
ENSDARG00000099061	Down	1020501	186408	496958	186408	no	no	loose	strict
ENSDARG00000094343	Down	322894	210461	322894	94126	no	loose	strict	strict
ENSDARG00000059175	Down	178791	354564	178791	49902	no	loose	strict	strict
ENSDARG00000076264	Down	100234	911792	2544	6174	loose	loose	strict	strict
ENSDARG00000011376	Down	725147	27895	361554	18953	no	strict	strict	strict
ENSDARG00000079328	Down	766689	13544	320012	13544	no	strict	strict	strict
ENSDARG00000074085	Down	195980	176299	1883	85182	loose	loose	strict	strict
ENSDARG00000075027	Down	29353	342926	29353	81205	strict	loose	strict	strict
ENSDARG00000104015	Down	6624	365655	6624	103934	strict	no	strict	strict
ENSDARG00000093787	Down	2779	34709	2779	25080	strict	strict	strict	strict
ENSDARG00000055831	Down	5398	32090	5398	27699	strict	strict	strict	strict
ENSDARG00000078476	Down	509271	137032	50612	21188	loose	loose	strict	strict
ENSDARG00000058562	Down	503656	131417	56227	15573	loose	loose	strict	strict
ENSDARG00000094427	Down	498661	126422	61222	10578	loose	loose	strict	strict
ENSDARG00000043126	Down	486558	114319	73325	1384	loose	loose	strict	strict
ENSDARG00000105075	Down	385683	13444	174200	13444	no	strict	strict	strict
ENSDARG00000062997	Down	271279	464697	271279	260174	no	no	strict	strict
ENSDARG00000057975	Down	286922	18965	286922	18965	no	strict	strict	strict
ENSDARG00000020000	Down	34983	15898	28351	15898	strict	strict	strict	strict
ENSDARG00000071468	Down	165716	437608	26425	179211	loose	no	strict	strict
ENSDARG00000042667	Down	12032	259674	1722	1277	strict	loose	strict	strict
ENSDARG00000042684	Down	136009	135697	125699	13521	no	loose	strict	strict
ENSDARG00000013351	Down	178437	113496	178437	113496	no	no	strict	strict
ENSDARG00000018524	Down	14546	86651	9522	1672	strict	strict	strict	strict
ENSDARG00000019404	Down	46897	119002	41873	34023	strict	loose	strict	strict
ENSDARG00000042094	Down	668899	428300	200880	31022	no	loose	strict	strict
ENSDARG00000016364	Down	398609	100946	397716	100946	no	no	strict	strict
ENSDARG00000062173	Down	752941	495653	752941	300742	no	no	strict	strict
ENSDARG00000101814	Down	2858	239262	2858	41602	strict	loose	strict	strict
ENSDARG00000061432	Down	18993	2118440	11963	121426	strict	no	strict	loose
ENSDARG00000046019	Down	10059	1378712	6879	2061	strict	loose	strict	loose
ENSDARG00000110967	Down	3012	31007	3012	4873	strict	strict	strict	strict
ENSDARG00000017821	Down	291278	645107	291278	535782	no	no	strict	strict
ENSDARG00000058358	Down	772719	293905	76629	292785	loose	no	strict	strict
ENSDARG00000018404	Down	727601	200326	170208	199206	no	no	strict	strict
ENSDARG00000029219	Down	429329	32122	344382	32122	no	strict	strict	strict
ENSDARG00000087844	Down	143669	1439615	78610	219967	loose	no	strict	loose
ENSDARG00000022727	Down	5538	2602318	5538	86567	strict	loose	strict	loose
ENSDARG00000077589	Down	30539	3306455	30539	31808	strict	loose	strict	loose
ENSDARG00000021494	Down	102463	3642651	99900	592027	loose	no	strict	loose
ENSDARG00000004218	Down	158197	2520119	1797	996	loose	loose	strict	loose
ENSDARG00000036865	Down	79766	323928	79766	120967	strict	no	strict	strict
ENSDARG00000002601	Down	9193	394604	1234	2379	strict	loose	strict	strict
ENSDARG00000026296	Down	37586	39063	77	39063	strict	strict	strict	strict
ENSDARG00000044485	Down	6506	3612	1999	3612	strict	strict	strict	strict
ENSDARG00000104576	Down	40269	400927	40269	400927	strict	no	strict	strict
ENSDARG00000045444	Down	9684	315799	9684	7588	strict	loose	strict	strict
ENSDARG00000059279	Down	342355	1901785	1950	345596	loose	no	strict	loose
ENSDARG00000059337	Down	9587	1337535	3252	1247	strict	loose	strict	loose
ENSDARG00000075113	Down	349301	1676295	2029	7208	loose	loose	strict	loose
ENSDARG00000071626	Down	144731	106172	144731	106172	no	no	strict	strict
ENSDARG00000018637	Down	15439	426980	10248	410431	strict	no	strict	strict
ENSDARG00000058966	Down	4893	447490	4893	389921	strict	no	strict	strict
ENSDARG00000074843	Down	291210	1070300	291210	47198	no	loose	strict	loose
ENSDARG00000091835	Down	338258	1023252	338258	150	no	loose	strict	loose
ENSDARG00000022904	Down	3778	171842	3778	171842	strict	no	strict	strict
ENSDARG00000040046	Down	10657	2899	1913	2899	strict	strict	strict	strict
ENSDARG00000114991	Down	415852	270869	197464	20886	no	loose	strict	strict
