name	group	GC_prop	CpG_prop
atac_L12775	k4me1_enh	0.418	0.022
atac_L26850	k4me1_enh	0.412	0.016
atac_L27119	k4me1_enh	0.446	0.03
atac_L32227	k4me1_enh	0.494	0.016
atac_L14120	k4me1_enh	0.472	0.02
atac_L10099	k4me1_enh	0.386	0.018
atac_L12034	k4me1_enh	0.442	0.022
atac_L01104	k4me1_enh	0.352	0.002
atac_L06301	k4me1_enh	0.436	0.032
atac_L30646	k4me1_enh	0.388	0.01
atac_P06360	k4me1_enh	0.404	0.012
atac_L13795	k4me1_enh	0.422	0.022
atac_L15021	k4me1_enh	0.402	0.008
atac_L01819	k4me1_enh	0.576	0.028
atac_P06272	k4me1_enh	0.47	0.022
atac_L18800	k4me1_enh	0.452	0.018
atac_L31342	k4me1_enh	0.372	0.002
atac_L19472	k4me1_enh	0.374	0.03
atac_L19066	k4me1_enh	0.552	0.042
atac_L07271	k4me1_enh	0.48	0.018
atac_L29154	k4me1_enh	0.366	0.016
atac_L35643	k4me1_enh	0.404	0.018
atac_L20320	k4me1_enh	0.422	0.016
atac_L07829	k4me1_enh	0.462	0.028
atac_P01133	k4me1_enh	0.4	0.01
atac_P05649	k4me1_enh	0.402	0.016
atac_L36551	k4me1_enh	0.494	0.016
atac_L36370	k4me1_enh	0.43	0.022
atac_L23265	k4me1_enh	0.464	0.014
atac_L18327	k4me1_enh	0.48	0.022
atac_P00755	k4me1_enh	0.396	0.016
atac_L03643	k4me1_enh	0.478	0.038
atac_P01745	k4me1_enh	0.394	0.024
atac_L10294	k4me1_enh	0.374	0.006
atac_L10557	k4me1_enh	0.398	0.014
atac_L09201	k4me1_enh	0.518	0.03
atac_P04041	k4me1_enh	0.454	0.012
atac_L24951	k4me1_enh	0.43	0.012
atac_L15450	k4me1_enh	0.392	0.014
atac_L07406	k4me1_enh	0.39	0.01
atac_P02717	k4me1_enh	0.496	0.012
atac_L35618	k4me1_enh	0.462	0.022
atac_L00728	k4me1_enh	0.306	0
atac_L28069	k4me1_enh	0.522	0.026
atac_L02219	k4me1_enh	0.366	0.004
atac_P01324	k4me1_enh	0.474	0.038
atac_P01320	k4me1_enh	0.498	0.024
atac_L23157	k4me1_enh	0.43	0.032
atac_L22868	k4me1_enh	0.406	0.01
atac_L34197	k4me1_enh	0.39	0.022
atac_L22295	k4me1_enh	0.454	0.022
atac_L16191	k4me1_enh	0.546	0.034
atac_L03018	k4me1_enh	0.404	0.014
atac_L17584	k4me1_enh	0.454	0.016
atac_L28890	k4me1_enh	0.404	0.014
atac_L29435	k4me1_enh	0.432	0.028
atac_L37823	k4me1_enh	0.45	0.024
atac_P01326	k4me1_enh	0.352	0.004
atac_L04157	k4me1_enh	0.446	0.012
atac_L18113	k4me1_enh	0.398	0.004
atac_L08934	k4me1_enh	0.404	0.018
atac_L11370	k4me1_enh	0.45	0.024
atac_L06302	k4me1_enh	0.432	0.022
atac_L15188	k4me1_enh	0.478	0.02
atac_P06567	k4me1_enh	0.386	0.012
atac_L03599	k4me1_enh	0.394	0.012
atac_L01817	k4me1_enh	0.512	0.022
atac_L06298	k4me1_enh	0.476	0.022
atac_L06294	k4me1_enh	0.434	0.012
atac_L20035	k4me1_enh	0.444	0.016
atac_L29159	k4me1_enh	0.404	0.024
atac_L03134	k4me1_enh	0.452	0.024
atac_L21525	k4me1_enh	0.39	0.022
atac_L25008	k4me1_enh	0.378	0.016
atac_L00729	k4me1_enh	0.45	0.022
atac_L31858	k4me1_enh	0.416	0.016
atac_L00221	k4me1_enh	0.388	0.014
atac_L23159	k4me1_enh	0.506	0.03
atac_L12434	k4me1_enh	0.42	0.02
atac_L29445	k4me1_enh	0.504	0.028
atac_L37450	k4me1_enh	0.45	0.022
atac_L06419	k4me1_enh	0.49	0.046
atac_L33488	k4me1_enh	0.378	0.012
atac_P02879	k4me1_enh	0.506	0.02
atac_L37886	k4me1_enh	0.352	0.008
atac_L03450	k4me1_enh	0.328	0.008
atac_L10839	k4me1_enh	0.514	0.024
atac_P05910	k4me1_enh	0.428	0.014
atac_L13792	k4me1_enh	0.388	0.014
atac_L38033	k4me1_enh	0.39	0.002
atac_L18313	k4me1_enh	0.456	0.03
atac_L20144	k4me1_enh	0.454	0.016
atac_L23554	k4me1_enh	0.388	0.014
atac_L34196	k4me1_enh	0.396	0.014
atac_P03185	k4me1_enh	0.464	0.02
atac_L39734	k4me1_enh	0.404	0.016
atac_L38497	k4me1_enh	0.414	0.004
atac_P01848	k4me1_enh	0.52	0.05
atac_L16727	k4me1_enh	0.36	0.01
atac_P06615	k4me1_enh	0.47	0.034
atac_L28889	k4me1_enh	0.416	0.006
atac_L26438	k4me1_enh	0.434	0.032
atac_L01975	k4me1_enh	0.422	0.032
atac_L27876	k4me1_enh	0.426	0.012
atac_L20831	k4me1_enh	0.428	0.014
atac_L28757	k4me1_enh	0.49	0.042
atac_L09644	k4me1_enh	0.412	0.026
atac_L21973	k4me1_enh	0.418	0.024
atac_L02225	k4me1_enh	0.426	0.012
atac_L35438	k4me1_enh	0.498	0.008
atac_P05919	k4me1_enh	0.44	0.024
atac_L07191	k4me1_enh	0.414	0.022
atac_L17676	k4me1_enh	0.442	0.032
atac_L33486	k4me1_enh	0.432	0.024
atac_L21828	k4me1_enh	0.462	0.024
atac_L26701	k4me1_enh	0.412	0.022
atac_L29252	k4me1_enh	0.47	0.018
atac_L38655	k4me1_enh	0.462	0.022
atac_L19147	k4me1_enh	0.454	0.034
atac_L20036	k4me1_enh	0.454	0.02
atac_P00006	k4me1_enh	0.54	0.05
atac_L30870	k4me1_enh	0.398	0.014
atac_L04322	k4me1_enh	0.4	0.014
atac_L11829	k4me1_enh	0.338	0.014
atac_L20207	k4me1_enh	0.462	0.022
atac_P00349	k4me1_enh	0.376	0.016
atac_L26996	k4me1_enh	0.468	0.02
atac_L06586	k4me1_enh	0.408	0.008
atac_L29543	k4me1_enh	0.462	0.02
atac_P04350	k4me1_enh	0.504	0.048
atac_L36738	k4me1_enh	0.378	0.01
atac_L26572	k4me1_enh	0.368	0.016
atac_L33485	k4me1_enh	0.458	0.01
atac_L31876	k4me1_enh	0.476	0.016
atac_L27724	k4me1_enh	0.344	0.014
atac_L35965	k4me1_enh	0.466	0.016
atac_L37449	k4me1_enh	0.366	0.022
atac_L09382	k4me1_enh	0.438	0.014
atac_L06622	k4me1_enh	0.552	0.042
atac_L31409	k4me1_enh	0.396	0.016
atac_L21830	k4me1_enh	0.52	0.032
atac_L35963	k4me1_enh	0.49	0.02
atac_L12785	k4me1_enh	0.52	0.036
atac_L16307	k4me1_enh	0.524	0.042
atac_P01363	k4me1_enh	0.412	0.006
atac_L35100	k4me1_enh	0.412	0.016
atac_L38733	k4me1_enh	0.414	0.026
atac_P04498	k4me1_enh	0.534	0.022
atac_P05974	k4me1_enh	0.426	0.022
atac_L10293	k4me1_enh	0.458	0.02
atac_P06487	k4me1_enh	0.412	0.01
atac_P01625	k4me1_enh	0.496	0.016
atac_L25146	k4me1_enh	0.494	0.03
atac_L22809	k4me1_enh	0.476	0.02
atac_L18027	k4me1_enh	0.414	0.022
atac_P06026	k4me1_enh	0.396	0.014
atac_L05164	k4me1_enh	0.354	0.016
atac_L06546	k4me1_enh	0.394	0.016
atac_P03342	k4me1_enh	0.458	0.024
atac_L08612	k4me1_enh	0.376	0.006
atac_L27554	k4me1_enh	0.44	0.036
atac_L01684	k4me1_enh	0.448	0.014
atac_L35434	k4me1_enh	0.42	0.014
atac_L06303	k4me1_enh	0.44	0.028
atac_P05809	k4me1_enh	0.39	0.008
atac_L04879	k4me1_enh	0.51	0.042
atac_P04244	k4me1_enh	0.458	0.012
atac_L24167	k4me1_enh	0.424	0.01
atac_L33949	k4me1_enh	0.478	0.03
atac_L27875	k4me1_enh	0.368	0.024
atac_P01631	k4me1_enh	0.412	0.026
atac_L06293	k4me1_enh	0.464	0.036
atac_L21691	k4me1_enh	0.444	0.012
atac_L07325	k4me1_enh	0.318	0.012
atac_L10095	k4me1_enh	0.474	0.012
atac_L19969	k4me1_enh	0.442	0.028
atac_P06236	k4me1_enh	0.438	0.024
atac_L34924	k4me1_enh	0.39	0.01
atac_L27874	k4me1_enh	0.36	0.008
atac_L12064	k4me1_enh	0.464	0.03
atac_L31805	k4me1_enh	0.452	0.022
atac_L26997	k4me1_enh	0.462	0.026
atac_L36305	k4me1_enh	0.454	0.01
atac_L27428	k4me1_enh	0.398	0.018
atac_L38658	k4me1_enh	0.426	0.014
atac_L17179	k4me1_enh	0.474	0.016
atac_L10139	k4me1_enh	0.452	0.014
atac_L29537	k4me1_enh	0.44	0.014
atac_P05504	k4me1_enh	0.452	0.032
atac_P04945	k4me1_enh	0.498	0.026
atac_P06700	k4me1_enh	0.532	0.04
atac_L24627	k4me1_enh	0.408	0.016
atac_L09381	k4me1_enh	0.404	0.008
atac_L21900	k4me1_enh	0.544	0.022
atac_L38295	k4me1_enh	0.336	0.008
atac_L17585	k4me1_enh	0.444	0.036
atac_L06349	k4me1_enh	0.48	0.044
atac_L32488	k4me1_enh	0.338	0.016
atac_L08978	k4me1_enh	0.504	0.032
atac_L15558	k4me1_enh	0.436	0.014
atac_P01888	k4me1_enh	0.48	0.018
atac_L27312	k4me1_enh	0.406	0.012
atac_P03536	k4me1_enh	0.434	0.01
atac_P01632	k4me1_enh	0.434	0.022
atac_L38691	k4me1_enh	0.482	0.042
atac_L39627	k4me1_enh	0.47	0.018
atac_L17006	k4me1_enh	0.46	0.016
atac_L09404	k4me1_enh	0.432	0.016
atac_P00390	k4me1_enh	0.494	0.028
atac_L18799	k4me1_enh	0.36	0.008
atac_L00210	k4me1_enh	0.414	0.03
atac_L24261	k4me1_enh	0.438	0.02
atac_L06027	k4me1_enh	0.406	0.014
atac_L33950	k4me1_enh	0.388	0.01
atac_L00731	k4me1_enh	0.434	0.004
atac_L21816	k4me1_enh	0.476	0.024
atac_L17013	k4me1_enh	0.412	0.01
atac_P03459	k4me1_enh	0.462	0.02
atac_P00132	k4me1_enh	0.398	0.026
atac_L18828	k4me1_enh	0.396	0.024
atac_L01815	k4me1_enh	0.456	0.034
atac_P00426	k4me1_enh	0.488	0.026
atac_L30647	k4me1_enh	0.38	0.008
atac_L20323	k4me1_enh	0.412	0.026
atac_L02771	k4me1_enh	0.428	0.024
atac_P00718	k4me1_enh	0.42	0.014
atac_L03500	k4me1_enh	0.388	0.014
atac_L37253	k4me1_enh	0.378	0.01
atac_L12033	k4me1_enh	0.408	0.016
atac_L33605	k4me1_enh	0.38	0.006
atac_L24877	k4me1_enh	0.398	0.016
atac_L03562	k4me1_enh	0.42	0.03
atac_L21462	k4me1_enh	0.47	0.052
atac_P00274	k4me1_enh	0.394	0.014
atac_L29312	k4me1_enh	0.424	0.016
atac_L36552	k4me1_enh	0.41	0.01
atac_L28571	k4me1_enh	0.432	0.016
atac_P02115	k4me1_enh	0.396	0.024
atac_L36548	k4me1_enh	0.458	0.014
atac_P03455	k4me1_enh	0.44	0.012
atac_L09583	k4me1_enh	0.374	0.016
atac_L27700	k4me1_enh	0.514	0.036
atac_P03480	k4me1_enh	0.452	0.026
atac_L09146	k4me1_enh	0.57	0.028
atac_L24931	k4me1_enh	0.47	0.03
atac_P05021	k4me1_enh	0.444	0.034
atac_L12851	k4me1_enh	0.438	0.012
atac_L01841	k4me1_enh	0.41	0.004
atac_L21497	k4me1_enh	0.406	0.014
atac_L17105	k4me1_enh	0.37	0.012
atac_L18784	k4me1_enh	0.452	0.008
atac_L20502	k4me1_enh	0.346	0.008
atac_L07428	k4me1_enh	0.456	0.018
atac_L00992	k4me1_enh	0.396	0.016
atac_P00690	k4me1_enh	0.408	0.022
atac_L04690	k4me1_enh	0.422	0.014
atac_P05236	k4me1_enh	0.416	0.012
atac_L28780	k4me1_enh	0.386	0.012
atac_P04732	k4me1_enh	0.458	0.016
atac_L26943	k4me1_enh	0.44	0.02
atac_L23890	k4me1_enh	0.378	0.008
atac_L08055	k4me1_enh	0.484	0.02
atac_P00135	k4me1_enh	0.444	0.022
atac_L21690	k4me1_enh	0.38	0.012
atac_L18476	k4me1_enh	0.414	0.01
atac_L39916	k4me1_enh	0.35	0.008
atac_L28939	k4me1_enh	0.372	0.01
atac_L35313	k4me1_enh	0.338	0.008
atac_L35501	k4me1_enh	0.442	0.024
atac_L06713	k4me1_enh	0.442	0.022
atac_L35101	k4me1_enh	0.386	0.02
atac_L00637	k4me1_enh	0.364	0.012
atac_L01818	k4me1_enh	0.546	0.022
atac_L21648	k4me1_enh	0.4	0.016
atac_P07113	k4me1_enh	0.432	0.018
atac_L29976	k4me1_enh	0.508	0.058
atac_L36509	k4me1_enh	0.546	0.03
atac_L04598	k4me1_enh	0.342	0.012
atac_L20830	k4me1_enh	0.41	0.016
atac_P07068	k4me1_enh	0.394	0.016
atac_L15684	k4me1_enh	0.366	0.016
atac_L05738	k4me1_enh	0.484	0.018
atac_L04658	k4me1_enh	0.612	0.034
atac_L28484	k4me1_enh	0.424	0.022
atac_L15172	k4me1_enh	0.384	0.01
atac_L28572	k4me1_enh	0.352	0.004
atac_L36559	k4me1_enh	0.436	0.022
atac_L35962	k4me1_enh	0.46	0.02
atac_L27769	k4me1_enh	0.394	0.016
atac_L21692	k4me1_enh	0.334	0.006
atac_L19119	k4me1_enh	0.418	0.024
atac_L34934	k4me1_enh	0.43	0.03
atac_L36460	k4me1_enh	0.394	0.006
atac_L27360	k4me1_enh	0.38	0.002
atac_L13638	k4me1_enh	0.44	0.014
atac_L23891	k4me1_enh	0.5	0.018
atac_L06712	k4me1_enh	0.358	0.006
atac_L34970	k4me1_enh	0.394	0.018
atac_L35744	k4me1_enh	0.4	0.014
atac_L39733	k4me1_enh	0.392	0.008
atac_L36547	k4me1_enh	0.478	0.026
atac_L03369	k4me1_enh	0.38	0.022
atac_L24081	k4me1_enh	0.346	0.006
atac_L37739	k4me1_enh	0.434	0.03
atac_L17319	k4me1_enh	0.394	0.01
atac_L33607	k4me1_enh	0.448	0.014
atac_P01493	k4me1_enh	0.428	0.024
atac_L22755	k4me1_enh	0.432	0.016
atac_L14077	k4me1_enh	0.36	0.018
atac_L13022	k4me1_enh	0.428	0.02
atac_L36487	k4me1_enh	0.402	0.046
atac_L31586	k4me1_enh	0.336	0.006
atac_L21715	k4me1_enh	0.366	0.006
atac_L24928	k4me1_enh	0.384	0.018
atac_L36550	k4me1_enh	0.46	0.016
atac_P03839	k4me1_enh	0.378	0.01
atac_L36557	k4me1_enh	0.396	0.016
atac_L12219	k4me1_enh	0.416	0.01
atac_L29679	k4me1_enh	0.442	0.004
atac_L05965	k4me1_enh	0.448	0.012
atac_L12563	k4me1_enh	0.364	0.008
atac_L07708	k4me1_enh	0.54	0.02
atac_L38661	k4me1_enh	0.354	0.012
atac_L20769	k4me1_enh	0.38	0.004
atac_L33487	k4me1_enh	0.434	0.006
atac_L08980	k4me1_enh	0.48	0.026
atac_L33913	k4me1_enh	0.484	0.034
atac_L36219	k4me1_enh	0.384	0.006
atac_L01801	k4me1_enh	0.53	0.014
atac_L38234	k4me1_enh	0.488	0.088
atac_L20487	k4me1_enh	0.424	0.018
atac_L07749	k4me1_enh	0.376	0.012
atac_L10085	k4me1_enh	0.354	0.006
atac_L22440	k4me1_enh	0.444	0.024
atac_L08891	k4me1_enh	0.354	0.008
atac_L34556	k4me1_enh	0.488	0.036
atac_L23896	k4me1_enh	0.434	0.02
atac_L08196	k4me1_enh	0.334	0.02
atac_L17218	k4me1_enh	0.418	0.018
atac_P04425	k4me1_enh	0.56	0.034
atac_P05720	k4me1_enh	0.394	0.024
atac_L12863	k4me1_enh	0.392	0.028
atac_L32263	k4me1_enh	0.396	0.002
atac_L14264	k4me1_enh	0.37	0.01
atac_L24293	k4me1_enh	0.396	0.02
atac_L15318	k4me1_enh	0.35	0
atac_L16135	k4me1_enh	0.372	0.012
atac_L02509	k4me1_enh	0.316	0.006
atac_P04061	k4me1_enh	0.458	0.028
atac_L02856	k4me1_enh	0.406	0.022
atac_P01269	k4me1_enh	0.408	0.014
atac_L38962	k4me1_enh	0.342	0.014
atac_L38690	k4me1_enh	0.476	0.03
atac_P03886	k4me1_enh	0.496	0.018
atac_L12369	k4me1_enh	0.376	0.004
atac_L17675	k4me1_enh	0.404	0.026
atac_L17320	k4me1_enh	0.426	0.024
atac_P04265	k4me1_enh	0.386	0.002
atac_L10691	k4me1_enh	0.368	0.008
atac_L02560	k4me1_enh	0.376	0.01
atac_L16787	k4me1_enh	0.492	0.042
atac_L31585	k4me1_enh	0.382	0.014
atac_L31195	k4me1_enh	0.438	0.012
atac_L00211	k4me1_enh	0.4	0.034
atac_L01727	k4me1_enh	0.406	0.006
atac_L02459	k4me1_enh	0.398	0.016
atac_L39232	k4me1_enh	0.41	0.004
atac_L05574	k4me1_enh	0.316	0.002
atac_L35503	k4me1_enh	0.426	0.018
atac_L17321	k4me1_enh	0.434	0.01
atac_P02977	k4me1_enh	0.432	0.02
atac_L35180	k4me1_enh	0.428	0.024
atac_L12975	k4me1_enh	0.41	0.014
atac_L00600	k4me1_enh	0.446	0.01
atac_L29005	k4me1_enh	0.514	0.014
atac_L21713	k4me1_enh	0.392	0.012
atac_L10677	k4me1_enh	0.384	0.012
atac_L19067	k4me1_enh	0.39	0.02
atac_L13633	k4me1_enh	0.436	0.014
atac_L36669	k4me1_enh	0.362	0.012
atac_L39354	k4me1_enh	0.354	0.018
atac_P02932	k4me1_enh	0.512	0.02
atac_L32556	k4me1_enh	0.372	0.016
atac_L27171	k4me1_enh	0.448	0.014
atac_L15090	k4me1_enh	0.416	0
atac_L32476	k4me1_enh	0.424	0.01
atac_L14074	k4me1_enh	0.488	0.018
atac_L22203	k4me1_enh	0.384	0.02
atac_L28046	k4me1_enh	0.444	0.022
atac_L37473	k4me1_enh	0.426	0.026
atac_P06292	k4me1_enh	0.466	0.01
atac_L13224	k4me1_enh	0.42	0.018
atac_L39066	k4me1_enh	0.438	0.03
atac_L27982	k4me1_enh	0.422	0.02
atac_L21689	k4me1_enh	0.432	0.024
atac_P03303	k4me1_enh	0.394	0.018
atac_L33444	k4me1_enh	0.356	0.004
atac_L18806	k4me1_enh	0.386	0
atac_L20727	k4me1_enh	0.556	0.046
atac_L33078	k4me1_enh	0.43	0.01
atac_L09071	k4me1_enh	0.414	0.004
atac_L15278	k4me1_enh	0.358	0.022
atac_L37740	k4me1_enh	0.4	0.014
atac_L28025	k4me1_enh	0.472	0.016
atac_L08801	k4me1_enh	0.466	0.034
atac_L03686	k4me1_enh	0.442	0.026
atac_L06605	k4me1_enh	0.334	0.014
atac_P02359	k4me1_enh	0.438	0.006
atac_P06778	k4me1_enh	0.392	0.002
atac_L20957	k4me1_enh	0.458	0.026
atac_L03374	k4me1_enh	0.33	0.006
atac_L37469	k4me1_enh	0.508	0.044
atac_L06905	k4me1_enh	0.44	0.024
atac_P04758	k4me1_enh	0.38	0.01
atac_L08936	k4me1_enh	0.42	0.016
atac_L03116	k4me1_enh	0.464	0.036
atac_L36218	k4me1_enh	0.362	0.026
atac_L04001	k4me1_enh	0.428	0.016
atac_L08833	k4me1_enh	0.436	0.022
atac_P06363	k4me1_enh	0.396	0.014
atac_L11102	k4me1_enh	0.398	0.01
atac_L33750	k4me1_enh	0.422	0.018
atac_P02924	k4me1_enh	0.448	0.034
atac_P05535	k4me1_enh	0.38	0.006
atac_L04769	k4me1_enh	0.482	0.016
atac_L05467	k4me1_enh	0.45	0.016
atac_L19145	k4me1_enh	0.366	0.008
atac_L39717	k4me1_enh	0.366	0.008
atac_L12880	k4me1_enh	0.442	0.028
atac_L09655	k4me1_enh	0.402	0.01
atac_L12065	k4me1_enh	0.454	0.026
atac_L13312	k4me1_enh	0.458	0.03
atac_L16936	k4me1_enh	0.418	0.022
atac_L24223	k4me1_enh	0.33	0.004
