chr	start	end	name	category	strand	gene	tx_anno	clickit_sense_left	dome_sense_left	x50e_sense_left	shield_sense_left	x75e_sense_left	clickit_anti_left	dome_anti_left	x50e_anti_left	shield_anti_left	x75e_anti_left	clickit_sense_left2	dome_sense_left2	x50e_sense_left2	shield_sense_left2	x75e_sense_left2	clickit_anti_left2	dome_anti_left2	x50e_anti_left2	shield_anti_left2	x75e_anti_left2	clickit_sense_right	dome_sense_right	x50e_sense_right	shield_sense_right	x75e_sense_right	clickit_anti_right	dome_anti_right	x50e_anti_right	shield_anti_right	x75e_anti_right	clickit_sense_right2	dome_sense_right2	x50e_sense_right2	shield_sense_right2	x75e_sense_right2	clickit_anti_right2	dome_anti_right2	x50e_anti_right2	shield_anti_right2	x75e_anti_right2	exonic_plus_left	exonic_minus_left	exonic_plus_right	exonic_minus_right
chr4	61788	61789	atac_P05132	prom_umms	-	TCONS_00092785	tss_minus	6.03	0.35	0.32	0	0.2	4.52	1.22	1.75	1.78	1.62	4.52	0.35	0.32	0	0.2	1.51	1.92	1.59	1.42	1.22	6.03	0.35	0.32	0	0.2	7.54	1.22	1.59	1.78	1.62	6.03	0.35	0.32	0	0.2	0	1.39	0.48	0.36	0	.	X	.	X
chr4	64001	64002	atac_L28314	prox	.	.	tss_plus	0.71	0.81	4.52	0	0.32	0	1.62	4.52	0.17	0	0.71	0.81	3.01	0	0.32	0	1.62	4.52	0.17	0	0.71	2.23	10.55	0.52	2.39	0	1.62	4.52	0.17	0	0.71	4.26	24.12	1.39	3.02	0	1.62	4.52	0.17	0	.	.	X	.
chr4	64376	64377	atac_L28315	prox	.	.	tss_plus	1.22	19.41	32.18	32.62	397.94	0.17	1.27	0.53	0.2	0	0.87	7.48	7.65	6.28	52.76	0	1.27	0.53	0.2	0	2.44	34.69	58.32	66.67	819.99	0.17	1.27	0.53	0.2	0	2.26	33.57	56.72	64.24	818.48	0	1.27	0.53	0.2	0	X	.	.	.
chr4	65965	65966	atac_L28316	prox	.	.	overlap_minus	1.42	9.04	1.05	0.16	0.36	0	12.06	0.52	0.16	0	1.22	7.54	1.05	0.32	0.36	0	12.06	0.52	0.16	0	1.82	12.06	1.05	0.16	0.53	0	12.06	0.52	0.16	0	1.62	9.04	0.87	0.48	0.36	0	12.06	0.52	0.16	0	X	.	X	.
chr4	70400	70401	atac_L28317	prox	.	.	overlap_plus	1.43	0.53	0.81	4.52	0.87	0.16	1.42	0.61	1.51	0	0.95	0.53	0.81	4.52	0.87	0.16	1.42	0.61	1.51	0	1.27	0.53	0.81	4.52	0.87	0.32	1.42	0.61	1.51	0	0.8	0.53	1.42	4.52	0.87	0.32	1.42	0.61	1.51	0	X	.	.	.
chr4	74291	74292	atac_L28318	prox	.	.	tss_plus	7.54	2.79	3.34	2.13	4.46	1.51	2.44	1.43	0.71	0.41	6.03	1.57	1.75	1.07	2.03	1.51	2.61	1.59	0.53	0.2	19.6	3.14	3.34	2.49	4.66	1.51	2.09	0.95	1.07	0.81	28.64	6.79	7.96	7.65	9.73	1.51	2.26	0.8	1.24	0.61	X	.	X	.
chr4	74776	74777	atac_L28319	prox	.	.	overlap_plus	3.2	6.89	66.32	5.58	6.68	0.53	2.84	7.54	0.17	0	2.67	9.93	97.98	7.84	8.91	0.53	2.63	9.04	0.35	0.16	3.91	6.89	67.83	5.58	6.52	0.18	2.43	4.52	0.17	0	4.27	6.89	67.83	5.58	6.52	0.18	2.03	4.52	0.17	0	X	.	.	.
chr4	75227	75228	atac_P05133	prox	.	.	overlap_plus	3.31	5.41	7.82	6.89	61.8	0.17	1.27	0.53	0.61	0	2.26	5.41	7.65	6.69	61.8	0.17	1.27	0.53	0.2	0	3.48	5.41	9.07	6.69	63.31	0.17	1.27	0.53	0.41	0	3.14	5.57	8.53	6.69	66.32	0.17	1.43	0.53	0.2	0	.	.	.	.
chr4	105701	105702	atac_L28320	dist	.	.	overlap_minus	1.62	1.51	0.17	0	0.18	0.81	18.09	0.52	1.11	0.36	1.62	1.51	0.17	0	0.18	0.61	18.09	0.52	0.8	0.36	1.42	1.51	0.17	0	0.18	0.81	16.58	0.52	0.95	0.53	1.42	1.51	0.17	0	0.18	1.01	19.6	0.52	1.11	0.71	.	.	.	.
chr4	106395	106396	atac_L28321	dist	.	.	overlap_minus	1.27	0.18	0.2	0	0.17	0.64	0	0.61	6.03	0.87	1.27	0.18	0.2	0	0.17	0.64	0	1.22	10.55	0.87	1.43	0.18	0.2	0	0.17	0.64	0	0.41	0	1.05	1.27	0.18	0.2	0	0.17	0.64	0	0.41	0	0.52	.	.	.	.
chr4	119779	119780	atac_L28322	prom_umms	-	TCONS_00092789	tss_minus	3.01	0.35	0.16	0	0	3.01	0.17	0.16	0	0.61	3.01	0.35	0.16	0	0	4.52	1.74	2.07	0.89	4.46	3.01	0.35	0.16	0	0	3.01	0	0	0	0	3.01	0.35	0.16	0	0	3.01	0	0	0	0	.	X	.	.
chr4	122903	122904	atac_L28323	prox	.	.	overlap_plus	1.24	5.67	45.22	5.4	5.89	0.36	0	0	0	0	1.24	5.67	45.22	5.4	5.89	0.36	0	0	0	0	1.24	5.67	45.22	5.4	5.89	0.36	0	0	0	0	1.42	5.67	45.22	5.23	5.89	0.36	0	0	0	0	.	.	.	.
chr4	125755	125756	atac_L28324	prox	.	.	overlap_plus	1.22	0	0.18	0	0	0.35	0	0	0	0	1.05	0	0.18	0	0	0.35	0	0	0	0	1.22	0	0.18	0	0	0.35	0	0	0	0	1.22	0	0.18	0	0	0.35	0	0	0	0	.	.	.	.
chr4	129469	129470	atac_L28325	prox	.	.	tss_minus	1.01	13.57	1.05	0.8	3.91	0.81	34.67	1.74	2.39	4.98	1.01	10.55	1.57	0.64	3.02	0.81	43.71	2.09	2.55	6.22	1.01	15.07	1.92	0.64	3.38	0.81	24.12	0.7	0.64	1.78	1.01	10.55	2.26	0.48	4.27	0.81	19.6	0.87	0.32	1.6	X	X	X	X
chr4	130265	130266	atac_L28326	prox	.	.	overlap_plus	1.11	1.78	1.82	18.09	4.88	0.32	0.89	0.41	1.51	0.52	0.8	1.96	1.42	15.07	4.36	0.32	1.24	0.61	3.01	0.52	1.11	1.6	2.23	13.57	3.48	0.48	0.71	0.2	1.51	0.52	0.8	1.6	3.85	16.58	3.31	0.48	1.24	0.2	1.51	0.52	X	X	X	X
chr4	158326	158327	atac_L28327	dist	.	.	overlap_minus	6.03	0	0	0	0	4.52	8.71	7.64	9.25	9.73	6.03	0	0	0	0	4.52	9.41	7.48	8	9.93	6.03	0	0	0	0	1.51	8.19	6.21	8.89	10.74	6.03	0	0	0	0.2	1.51	8.01	4.93	7.11	9.93	.	X	.	X
chr4	167993	167994	atac_L28328	dist	.	.	overlap_minus	0.89	0	0	0	0	0	4.46	22.61	1.92	2.55	0.89	0	0	0	0	0	4.46	22.61	1.74	2.55	0.89	0	0	0	0	0	11.75	60.29	4.18	4.61	0.89	0	0	0	0	0	10.33	57.28	3.83	4.3	.	.	.	X
chr4	175285	175286	atac_L28329	prox	.	.	overlap_minus	0.17	0	0	0	0	0	1.91	1.6	0.2	7.54	0.17	0	0	0	0	0	1.91	1.6	0.2	7.54	0.17	0	0	0	0	0	1.75	1.6	0.2	7.54	0.17	0	0	0	0	0	1.75	1.6	0.2	7.54	.	.	.	.
chr4	182028	182029	atac_L28330	dist	.	.	minimal	0.2	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	.	.	.	.
chr4	186164	186165	atac_L28331	dist	.	.	overlap_minus	0.16	0	0	0	0	0	0	0.41	19.6	15.33	0.16	0	0	0	0	0	0	0.41	9.04	13.94	0.16	0	0	0	0	0	0	0.2	13.57	5.58	0.16	0	0	0	0	0	0	0.2	12.06	5.05	.	X	.	.
chr4	199812	199813	atac_L28332	dist	.	.	overlap_minus	0	0	0	0	0	0	0	0.16	0.36	10.74	0	0	0	0	0	0	0	0.16	0.36	11.96	0	0	0	0	0	0	0	0.16	0.89	10.13	0	0	0	0	0	0	0.17	0	1.07	10.94	.	X	.	X
chr4	203370	203371	atac_L28333	dist	.	.	overlap_minus	0	0	0	0	0	0.18	0	0	0.17	2.7	0	0	0	0	0	0.18	0	0	0.17	2.7	0	0	0	0	0	0	0	0	0.17	2.7	0	0	0	0	0	0.18	0	0	0.17	2.7	.	.	.	.
chr4	203922	203923	atac_L28334	dist	.	.	overlap_minus	0	0	0	0	0	0.17	0	0	0.2	25.62	0	0	0	0	0	0.52	0	0	0.2	25.62	0	0	0	0	0	0	0	0	0.2	25.62	0	0	0	0	0	0	0	0	0.2	25.62	.	.	.	.
chr4	207101	207102	atac_L28335	dist	.	.	overlap_minus	0	0	0	0	0	0	0	0	0.48	3.02	0	0	0	0	0	0	0	0	0.16	3.02	0	0	0	0	0	0	0	0	0.48	3.02	0	0	0	0	0	0	0	0	0.16	3.02	.	.	.	.
chr4	211780	211781	atac_L28336	prox	.	.	overlap_minus	0	0	0.2	1.51	0.87	0.16	0	0.2	3.01	6.97	0	0	0	3.01	1.22	0.16	0	0	1.51	5.05	0	0	0.41	0	0.87	0.16	0	0.41	1.51	5.92	0	0	0.2	0	0.87	0	0	0.41	0	4.7	.	X	.	X
chr4	212026	212027	atac_L28337	prox	.	.	overlap_plus	0	0	0	0.18	1.22	0	0	0	0	1.22	0	0	0.32	0	1.01	0	0	0.32	0	6.69	0	0	0	0.71	0.81	0	0	0	0	0	0	0	0	0.71	0.2	0	0	0	0	0	.	X	.	.
chr4	214565	214566	atac_L28338	dist	.	.	minimal	0	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0.41	0	0	0	0	0	0	0	0	0	0.41	0	0	0	.	.	.	.
chr4	217243	217244	atac_L28339	dist	.	.	minimal	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0.16	0	0	0	.	.	.	.
chr4	235406	235407	atac_L28340	dist	.	.	minimal	0	0	0	0	0	0	0	0	0.16	0.71	0	0	0	0	0	0	0	0	0.16	0.71	0	0	0	0	0	0	0	0	0.16	0.71	0	0	0	0	0	0	0	0	0.16	0.71	.	.	.	.
chr4	236122	236123	atac_L28341	dist	.	.	overlap_minus	0	0	0	0	0	0	0	0	1.51	0.7	0	0	0	0	0	0	0	0	1.51	0.7	0	0	0	0	0	0	0	0	1.51	0.7	0.16	0	0	0	0	0	0	0	1.51	0.7	.	.	.	.
chr4	243690	243691	atac_P05134	dist	.	.	overlap_plus	0	0	0	0.18	2.03	0	0	0	0.18	0	0	0	0	0.18	2.03	0	0	0	0.18	0	0	0	0.16	0.18	1.82	0	0	0	0.18	0	0	0	0.32	0.18	0.41	0	0	0	0.18	0	.	.	.	.
chr4	268501	268502	atac_L28342	prox	.	.	tss_minus	0.18	0	0	0.17	0.16	0	1.01	4.52	0.52	0	0.18	0	0	0.17	0.16	0	1.01	4.52	0.52	0	0.18	0	0	0.17	0.16	0	0	0	0.35	0	0.18	0	0	0.17	0.16	0	0	0	0.35	0	.	X	.	X
chr4	279786	279787	atac_L28343	prox	.	.	tss_plus	0.17	15.43	12.45	14.18	69.34	0	0	0	0	0	0.17	9.71	8.36	9.73	60.29	0	0	0	0	0	0.35	20.84	19.38	15	64.82	0	0	0	0	0	0.35	23.71	20.27	15.2	69.34	0	0	0	0	0	X	.	X	.
chr4	287291	287292	atac_L28344	prox	.	.	overlap_minus	0	4.52	0.17	0.16	0.18	0	25.62	1.74	0.32	1.6	0	0	0	0.16	0	0	25.62	1.92	0.64	1.07	0	9.04	0.35	0.16	0.36	0	46.73	3.14	1.43	3.2	0	9.04	0.35	0.16	0.36	0	51.25	4.01	1.75	3.91	X	.	X	X
chr4	298835	298836	atac_P05135	dist	.	.	overlap_plus	0.8	5.16	7.29	54.26	12.72	0	0	0	0	0	1.43	5.16	7.29	54.26	13.07	0	0	0	0	0	0.64	5.16	7.29	57.28	12.2	0	0	0	0	0	0.64	5.16	7.29	58.79	12.02	0	0	0	0	0	.	.	.	.
chr4	304331	304332	atac_P05136	prox	.	.	overlap_plus	3.01	1.22	1.11	0.71	1.22	0	0	0	0	0	3.01	0.7	0.64	0.53	0.41	0	0	0	0	0	3.01	0.7	0.95	1.07	1.42	0	0	0	0	0	3.01	0.35	0.8	0.71	0.81	0	0	0	0	0	.	.	X	.
chr4	306418	306419	atac_L28345	prox	.	.	overlap_plus	0.53	1.82	426.58	211.51	456.02	0	0	0	0	0.16	0.53	1.62	346.69	156.63	341.3	0	0	0	0	0.16	0.36	3.04	441.65	214.3	467.15	0	0	0	0	0.16	0.36	3.85	503.45	220.39	480.36	0	0	0	0	0.16	X	.	X	.
chr4	306596	306597	atac_L28346	prox	.	.	overlap_plus	0.52	3.18	63.48	255.93	4439.11	0	0	0	0	1.51	0.35	3.02	56.54	259.58	4540.1	0	0	0	0	1.51	0.52	2.86	65.43	281.87	4598.89	0	0	0	0	0	0.52	2.23	48.19	232.83	3783.42	0	0	0	0	0	X	.	X	.
chr4	308619	308620	atac_L28347	prom_ens	+	ENSDART00000145428	tss_plus	0.41	27.13	2.79	0.8	1.42	0	0	0	0	0	0.41	0	0.52	0.16	0.36	0	0	0	0	0	2.23	1939.94	238.69	152.43	202.52	0.41	0	0	0	0	4.26	3732.17	456.82	301.68	389.22	0.41	0	0	0	0	.	.	X	.
chr4	316788	316789	atac_L28348	dist	.	.	overlap_plus	7	635.48	706.19	4253.71	470.58	0	0	0	1.51	0	6.21	354.19	390.69	2381.59	259.6	0	0	0	0	0	5.41	940.24	1071.14	6424.28	722.51	0	0	0	1.51	0	5.25	978.29	1111.88	6725.74	751.26	0	0	0	1.51	0	.	.	X	.
chr4	319705	319706	atac_L28349	dist	.	.	overlap_plus	49.74	6.1	7.64	6.58	7.09	0	0	0	0.18	0	30.15	4.36	4.14	4.98	4.26	0	0	0	0.18	0	55.77	4.36	6.68	6.76	7.5	0	0	0	0.18	0	16.58	2.96	4.14	4.45	6.48	0	0	0	0.18	0	.	.	.	.
chr4	330719	330720	atac_L28350	prom_ens	-	ENSDART00000149933	tss_minus	1.24	1.42	34.67	1.05	1.59	0.18	17.43	88.93	9.41	16.07	1.24	1.82	22.61	0.7	1.59	0.36	16.41	82.9	9.23	16.07	1.96	0.41	40.7	1.57	1.11	0	2.63	13.57	1.22	1.91	2.31	0.41	34.67	1.39	0.95	0	0	1.51	0.17	0	X	X	X	.
chr4	331468	331469	atac_L28351	prox	.	.	overlap_plus	3.31	0.95	2.67	3.65	18.09	0	0	0	0.2	0	1.92	0.32	2.31	1.22	12.06	0	0	0	0.2	0	2.61	1.27	3.2	4.05	22.61	0.17	0	0	0.2	0	1.57	0.8	2.31	2.43	15.07	0.35	0	0	0.2	0	X	.	.	.
chr4	332389	332390	atac_L28352	prox	.	.	overlap_plus	1.42	21.1	4.88	4.3	3.91	0	0	0	0.16	0	0.81	10.55	2.26	2.07	1.78	0	0	0	0.16	0	2.03	24.12	4.01	4.77	3.38	0	0	0	0.16	0	1.42	19.6	4.01	4.14	5.16	0	0	0	0.16	0	.	.	X	.
chr4	332827	332828	atac_L28353	prom_ens	+	ENSDART00000067486	overlap_plus	1.91	3.02	5.67	33.16	5.92	0	0	0	1.51	0	1.27	1.96	5.07	34.67	5.75	0	0	0	1.51	0	4.3	5.33	6.69	36.18	5.58	0	0	0	1.51	0	3.66	3.02	1.82	10.55	2.44	0	0	0	1.51	0	X	.	X	.
chr4	338104	338105	atac_L28354	dist	.	.	overlap_plus	24.12	2.09	1.27	1.24	2.84	0	0	0	0.18	0	24.12	2.09	1.27	1.24	2.84	0	0	0	0.18	0	12.06	2.09	1.27	1.24	2.84	0	0	0	0.18	0	10.55	2.09	1.27	1.24	2.84	0	0	0	0.18	0	.	.	.	.
chr4	357823	357824	atac_L28355	prom_ens	+	ENSDART00000142225	tss_plus	0.89	1.01	6.03	0.35	0.64	0	0	0	0.17	0	0.89	0.81	6.03	0.17	0.64	0	0	0	0.17	0	2.31	2.84	13.57	1.57	1.11	0.18	0	0	0.17	0	1.96	3.65	15.07	2.26	1.91	0.18	0	0	0.17	0	.	.	X	.
chr4	360002	360003	atac_L28356	prom_cage	+	ENSDART00000139832	tss_plus	0.7	2.7	2.84	2.84	31.65	0	0	0	0.2	0	0.7	1.75	1.24	1.62	15.07	0	0	0	0.2	0	0.52	6.36	5.87	4.66	58.79	0	0	0	0.2	0	0.35	5.73	4.62	3.65	48.23	0	0	0	0.2	0	.	.	.	.
chr4	391347	391348	atac_L28357	prom_cage	+	ENSDART00000030215	tss_plus	0.2	28.64	4.36	1.75	3.56	0	0	0	0.32	0.18	0.2	6.03	1.57	0.64	0.18	0	0	0	0.32	0.18	1.42	1734.95	276.32	277.17	474.39	0	0	0	0.16	0.18	2.03	1736.45	275.62	278.45	473.32	0	0	0	0.16	0.18	.	.	.	.
chr4	398800	398801	atac_L28358	prox	.	.	overlap_plus	1.11	0.89	0.41	9.04	2.09	0	0	0	0	0.17	1.43	1.07	0.2	4.52	1.92	0	0	0	0	0.17	0.64	0.71	0.41	7.54	0.7	0	0	0	0	0.17	0.8	0.89	0.41	4.52	0.17	0	0	0	0	0.17	.	.	.	.
chr4	400254	400255	atac_L28359	prox	.	.	overlap_plus	4.52	0.17	0	0	0	0	0	0	0	0.2	1.51	0.17	0	0	0	0	0	0	0	0.2	4.52	0.17	0	0	0	0	0	0	0	0.2	1.51	0.87	0	0	0	0	0	0	0	0.2	X	.	X	.
chr4	400811	400812	atac_L28360	prox	.	.	overlap_plus	1.24	3.24	6.03	0.7	0.16	0	0	0	0	0.16	0.71	2.63	6.03	0.52	0.16	0	0	0	0	0.16	0.71	2.63	12.06	0.35	0.32	0	0	0	0	0.16	0.18	1.82	9.04	0	0.16	0	0	0	0	0.16	X	.	X	.
chr4	402561	402562	atac_L28361	prox	.	.	overlap_minus	0.17	0.48	0.18	0	0	0	0	0	0	1.51	0.17	0.32	0.18	0	0	0	0	0	0	1.51	1.22	0.8	0.89	0	0	0	0	0	0	1.51	1.22	0.8	1.07	0	0	0	0	0	0	1.51	.	.	X	.
chr4	403370	403371	atac_L28362	prox	.	.	overlap_plus	0.81	0	0.17	0	0	0	0	0	0	0.18	1.01	0	0.35	0	0	0	0	0	0	0.18	0.41	0	0	0	0	0	0	0	0	0.18	0.41	0	0	0	0	0	0	0	0	0.18	.	.	.	.
chr4	454632	454633	atac_L28363	dist	.	.	minimal	0.48	0.18	0.81	0	0	0	0	0	0	0	0.48	0.18	0.81	0	0	0	0	0	0	0	0	0.18	0.41	0	0	0	0	0	0	0	0	0.18	0.41	0	0	0	0	0	0	0	.	.	.	.
chr4	460235	460236	atac_L28364	prox	.	.	minimal	0	0.17	0.32	0	0	0	0	0	0	0	0	0.17	0.32	0	0	0	0	0	0	0	0	0.17	0.32	0	0	0	0	0	0	0	0	0.17	0.32	0	0	0	0	0	0	0	.	.	.	.
chr4	504370	504371	atac_L28365	dist	.	.	overlap_minus	0.53	0.2	0	0	0	0	0	0	0	0	0.53	0.2	0	0	0	0	0	0	0	0	0.71	0.2	0	0	0	0	0	3.01	0	0	0.36	0.2	0	0	0	0	0	3.01	0	0	.	.	.	.
chr4	519338	519339	atac_L28366	dist	.	.	minimal	0.17	0.16	0	0	0	0	0	0	0	0	0.17	0.16	0	0	0	0	0	0	0	0	0.17	0.16	0	0	0	0	0	0	0	0	0.17	0.16	0	0	0	0	0	0	0	0	.	.	.	.
chr4	554393	554394	atac_L28367	prox	.	.	overlap_plus	0	1.51	0	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	X	.	.	.
chr4	589135	589136	atac_L28368	dist	.	.	minimal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.
chr4	589428	589429	atac_L28369	dist	.	.	minimal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.
chr4	596651	596652	atac_L28370	dist	.	.	minimal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	.	.	.	.
chr4	624584	624585	atac_L28371	dist	.	.	minimal	0	0.16	0.18	0	0	0	0	0	0	0	0	0	0.36	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0.16	0	0	0	0	0	0	0	0	X	.	X	.
chr4	646126	646127	atac_L28372	prom_cage	+	ENSDART00000171138	tss_plus	0	10.55	0.17	0.16	0	0	0	0	0	0	0	1.51	0	0	0	0	0	0	0	0	0.61	167.31	8.19	4.14	9.07	0	0	0	0	0	0.61	159.78	9.06	4.46	9.07	0	0	0	0	0	.	.	X	.
chr4	675002	675003	atac_L28373	dist	.	.	overlap_plus	0.48	46.05	41.54	242.68	39.03	0	0	0.2	0	0	0.32	49.07	41.95	191.43	33.97	0	0	0	0	0	0.16	36.27	36.68	229.12	32.41	0	0	0.2	0	0	0.32	37.52	29.18	174.85	23.52	0	0	0.2	0	0	X	.	X	.
chr4	686535	686536	atac_L28374	prox	.	.	overlap_plus	1.51	20.73	16.71	11.38	7.7	0	0	0	0	0	0	11.85	9.23	6.22	4.26	0	0	0	0	0	1.51	10.98	8.11	6.22	3.85	0	0	0	0	0	0	10.45	7.96	6.05	3.65	0	0	0	0	0	X	.	.	.
chr4	703097	703098	atac_L28375	prox	.	.	tss_plus	0	0	0	0	0	0.71	32.62	256.25	25.61	33.25	0	0	0	0	0	0.53	23.71	173.34	18.47	24.19	0	0.2	7.54	0.52	1.91	0.89	21.88	185.4	17.95	22.75	0	0.2	10.55	0.7	1.91	0.53	15.6	149.23	14.29	16.71	.	X	.	X
chr4	703434	703435	atac_L28376	prox	.	.	tss_minus	0	0.48	1.78	1.22	16.58	0	0.95	1.24	2.03	15.07	0	0.32	1.6	0.61	13.57	0	3.82	7.11	6.69	58.79	0	0.16	1.42	1.22	16.58	0.17	0.95	1.42	1.62	13.57	0	0	0.89	0.2	15.07	0.17	0.95	1.6	1.42	10.55	.	X	.	X
chr4	717841	717842	atac_L28377	dist	.	.	tss_plus	0	1.51	0	0	2.13	0	4.52	0	0.16	0.53	0	1.51	0	0	2.13	0	4.52	0	0.16	0.53	1.01	31.65	4.88	1.27	4.62	0.61	4.52	0	0.16	0.53	1.01	33.16	4.88	1.27	4.62	0.61	4.52	0	0.16	0.53	.	.	.	.
chr4	722397	722398	atac_P05137	prox	.	.	minimal	0	0	0	0	0.35	0	0.18	0.2	0	0.17	0	0	0	0	0.35	0	0.18	0.2	0	0.17	0	0	0	0	0.35	0	0.18	0.2	0	0.17	0	0	0	0	0.35	0	0.18	0.2	0	0.17	.	.	.	.
chr4	724050	724051	atac_L28378	dist	.	.	tss_plus	0	0	0	0	0.41	0	0.17	0.16	0	0.2	0	0	0	0	0.41	0	0.17	0.16	0	0.2	0	0	0.48	1.07	1.62	0	0.17	0.16	0	0.2	0	0.17	0.48	1.6	2.43	0	0.17	0.16	0	0.2	.	.	.	.
chr4	747205	747206	atac_L28379	prox	.	.	overlap_minus	0	0	0	0	0	0.89	11.55	73.86	5.92	6.21	0	0	0	0	0	0.53	8.31	69.34	5.23	5.41	0	0	0	0	0	0.36	26.95	174.85	12.72	10.66	0	0	0	0	0	0	30.8	182.39	15.51	8.91	.	.	.	X
