chr	start	end	name	category	strand	gene	1k_k4me1_1_center	1k_k4me1_2_center	1k_k4me1_3_center	1k_k4me1_4_center	1k_k4me2_1_center	1k_k4me3_1_center	1k_k9ac_1_center	1k_k9ac_2_center	1k_k27ac_1_center	1k_k27ac_2_center	1k_k56ac_1_center	1k_k64ac_1_center	1k_k64ac_2_center	1k_k122ac_1_center	1k_h4k16ac_1_center	1k_h4k16ac_2_center	1k_igg_1_center	1k_igg_2_center	shield_k4me1_1_center	shield_k4me1_2_center	shield_k4me2_1_center	shield_k4me2_2_center	shield_k4me3_1_center	shield_k4me3_2_center	shield_k4me3_3_center	shield_igg_1_center	shield_igg_2_center	1k_k4me1_1_left	1k_k4me1_2_left	1k_k4me1_3_left	1k_k4me1_4_left	1k_k4me2_1_left	1k_k4me3_1_left	1k_k9ac_1_left	1k_k9ac_2_left	1k_k27ac_1_left	1k_k27ac_2_left	1k_k56ac_1_left	1k_k64ac_1_left	1k_k64ac_2_left	1k_k122ac_1_left	1k_h4k16ac_1_left	1k_h4k16ac_2_left	1k_igg_1_left	1k_igg_2_left	shield_k4me1_1_left	shield_k4me1_2_left	shield_k4me2_1_left	shield_k4me2_2_left	shield_k4me3_1_left	shield_k4me3_2_left	shield_k4me3_3_left	shield_igg_1_left	shield_igg_2_left	1k_k4me1_1_right	1k_k4me1_2_right	1k_k4me1_3_right	1k_k4me1_4_right	1k_k4me2_1_right	1k_k4me3_1_right	1k_k9ac_1_right	1k_k9ac_2_right	1k_k27ac_1_right	1k_k27ac_2_right	1k_k56ac_1_right	1k_k64ac_1_right	1k_k64ac_2_right	1k_k122ac_1_right	1k_h4k16ac_1_right	1k_h4k16ac_2_right	1k_igg_1_right	1k_igg_2_right	shield_k4me1_1_right	shield_k4me1_2_right	shield_k4me2_1_right	shield_k4me2_2_right	shield_k4me3_1_right	shield_k4me3_2_right	shield_k4me3_3_right	shield_igg_1_right	shield_igg_2_right
chr4	61356	62221	atac_P05132	prom_umms	-	TCONS_00092785	3	6	0	0	1	0	1	0	2	0	1	1	0	0	3	1	0	0	7	11	2	8	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	6	7	0	0	0	2	2	2	9	0	0	3	0	0	5	1	0	0	6	15	5	2	0	0	1	0	0
chr4	63945	64057	atac_L28314	prox	.	.	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	2	6	0	0	0	0	1	0	18	5	0	1	0	0	7	3	2	1	3	10	1	9	0	0	1	0	0	0	7	0	1	1	0	1	1	10	1	0	2	0	1	3	1	0	0	8	8	3	10	0	1	0	0	0
chr4	64331	64421	atac_L28315	prox	.	.	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	1	1	0	1	1	13	1	0	2	0	1	6	3	2	0	9	12	4	11	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4	65928	66003	atac_L28316	prox	.	.	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	2	0	8	0	0	1	0	0	2	0	0	1	2	2	0	0	0	1	1	0	0	1	2	0	0	0	1	3	0	5	1	0	3	0	0	3	0	0	0	2	4	0	7	0	0	0	0	0
chr4	70355	70446	atac_L28317	prox	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4	74214	74369	atac_L28318	prox	.	.	1	0	0	0	1	1	0	1	3	0	0	1	0	0	2	1	0	0	0	0	0	5	2	0	3	0	0	0	3	0	1	1	1	3	3	12	4	0	5	1	1	7	1	1	0	5	11	2	12	2	0	2	0	0	2	2	0	0	2	1	2	1	2	2	2	1	1	0	1	0	1	0	0	0	1	3	0	1	1	0	1
chr4	74738	74814	atac_L28319	prox	.	.	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	3	2	1	1	3	2	2	0	1	0	3	1	1	0	0	0	1	6	2	1	4	0	0	2	2	0	0	0	1	1	1	4	1	0	2	0	0	2	0	0	0	2	1	0	1	1	0	2	0	3
chr4	75119	75335	atac_P05133	prox	.	.	0	1	0	0	0	2	0	0	3	1	0	1	0	0	2	0	0	0	1	0	0	1	0	0	1	0	2	2	1	0	0	1	0	1	1	1	1	1	2	1	0	0	0	0	0	1	1	0	0	1	0	1	0	2	0	0	0	0	2	2	2	1	1	1	0	0	0	0	3	0	0	1	6	2	0	1	0	0	2	0	1
chr4	105639	105764	atac_L28320	dist	.	.	1	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	2	0	0	5	0	0	1	0	0	1	0	0	0	2	6	0	1	0	0	1	0	0	1	2	0	0	3	3	1	0	6	1	0	1	0	0	1	2	0	0	6	7	0	0	1	0	2	0	0
chr4	106326	106465	atac_L28321	dist	.	.	0	2	0	0	0	0	3	0	3	0	1	0	0	1	2	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	2	2	1	0	7	1	0	1	0	0	3	2	0	0	8	6	0	0	1	0	2	0	0	3	4	0	0	1	0	1	1	7	0	1	1	0	0	2	0	1	1	6	6	1	2	0	0	1	0	0
chr4	119704	119854	atac_L28322	prom_umms	-	TCONS_00092789	1	0	0	0	0	0	2	0	4	1	0	0	0	0	1	0	0	0	1	2	1	2	0	0	1	1	0	2	2	0	1	2	1	5	0	6	2	0	2	0	0	3	1	1	0	2	4	2	10	0	0	0	0	2	1	3	0	0	0	0	2	0	2	1	0	2	0	0	2	0	1	0	1	2	0	0	0	0	0	1	0
chr4	122858	122949	atac_L28323	prox	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	2	0	4	1	0	0	1	0	0	0	0	0	1	4	2	2	0	0	2	0	0	0	2	0	0	1	2	0	0	3	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1
chr4	125718	125793	atac_L28324	prox	.	.	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	0	0	0	3	1	6	0	0	0	1	1	5	0	0	0	7	9	1	1	0	0	0	1	0	0	1	0	0	0	0	0	1	8	2	0	1	0	0	1	0	0	0	4	5	1	0	0	1	2	0	2
chr4	129418	129520	atac_L28325	prox	.	.	1	0	0	0	1	1	1	0	4	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	1	4	0	0	0	1	2	0	11	0	2	0	0	0	0	0	0	0	6	2	2	5	0	0	0	1	0	2	2	0	0	1	1	3	0	6	0	0	1	0	0	3	1	2	0	4	7	1	7	0	0	2	0	1
chr4	130203	130328	atac_L28326	prox	.	.	0	1	0	0	0	1	1	0	5	0	1	2	0	0	1	0	0	0	1	5	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	8	0	0	2	1	0	1	1	2	0	4	8	1	7	0	0	2	0	1	1	2	0	1	0	1	2	0	2	1	1	1	0	0	2	0	0	0	6	4	1	1	0	0	2	1	0
chr4	158250	158402	atac_L28327	dist	.	.	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	3	1	0	1	1	0	0	0	0	0	2	0	1
chr4	167954	168033	atac_L28328	dist	.	.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1
chr4	175192	175378	atac_L28329	prox	.	.	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1
chr4	181987	182069	atac_L28330	dist	.	.	0	0	0	1	0	1	0	1	1	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	2	0	3	1	10	8	0	0	0	1	1	3	1	0	3	2	1	3	0	0	1	0	0	3	4	0	0	0	2	4	1	19	3	0	2	3	0	1	2	0	0	4	3	1	3	0	0	0	0	2
chr4	186114	186215	atac_L28331	dist	.	.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	1	0	0	3	1	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	2	0	0	0	0	1	0	0
chr4	199753	199871	atac_L28332	dist	.	.	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	2	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	2	0	1	4	0	0	4	0	0	1	1	1	0	0	0	0	0	0	0	1	1	2
chr4	203312	203429	atac_L28333	dist	.	.	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	1	1	0	0	0	0	0	0	0	1	0	0	0	8	4	0	0	0	0	1	0	0
chr4	203808	204037	atac_L28334	dist	.	.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	3	1	2	0	1	1	0	0	0	0	1	0	0	0	7	4	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	0	9	4	0	0	0	0	0	2	0
chr4	207008	207195	atac_L28335	dist	.	.	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	2	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	7	0	0	1	0	1	1	0	0	0	6	5	1	0	0	0	0	0	1
chr4	211728	211833	atac_L28336	prox	.	.	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	2	0	0	0	0	0	1	2	0	0	0	0	2	0	2	0	0	1	0	0	1	0	2	0	5	7	2	7	0	0	2	0	0	2	5	0	0	1	1	3	0	10	1	0	3	0	0	4	2	0	2	8	4	1	4	0	0	4	0	0
chr4	211914	212138	atac_L28337	prox	.	.	0	3	0	0	0	0	1	0	6	0	0	2	0	0	1	1	0	2	5	1	0	3	0	0	2	0	0	2	3	0	0	1	0	2	0	2	1	0	2	0	0	2	2	2	1	8	8	2	9	0	0	2	0	0	1	2	0	0	0	1	3	0	9	1	1	1	0	0	4	0	0	1	2	3	1	1	0	0	2	0	0
chr4	214510	214620	atac_L28338	dist	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	3	2	0	1	0	0	5	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	4	1	0	0	0	0	3	0	0	0	6	2	0	1	0	0	0	0	2
chr4	217203	217283	atac_L28339	dist	.	.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	1	0	1	1	0	0	0	0	0	0	3	2	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	1
chr4	235349	235463	atac_L28340	dist	.	.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	2	6	1	0	0	1	0	6	3	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	6	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	1	0	3
chr4	236059	236186	atac_L28341	dist	.	.	0	2	0	1	0	2	0	0	3	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	1	0	0	2	1	0	1	8	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	2	0	3	0	6	0	1	0	1	4	0	15	2	0	3	2	0	9	0	0	0	10	6	1	9	0	0	1	0	1
chr4	243526	243855	atac_P05134	dist	.	.	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	3	1	0	0	0	0	0	0	0	0	2	2	0	1	0	0	2	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
chr4	268434	268569	atac_L28342	prox	.	.	0	3	0	0	0	1	1	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	5	0	0	1	2	4	0	7	2	0	0	0	0	1	2	1	0	1	4	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0	8	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	2	0	0
chr4	279735	279838	atac_L28343	prox	.	.	0	2	0	0	0	1	2	0	2	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	3	0	0	0	0	2	0	2	0	1	2	0	0	1	1	0	0	5	5	1	2	0	0	1	0	0	0	2	1	0	0	3	6	1	11	1	0	4	1	0	6	2	1	0	15	22	2	6	0	0	2	1	1
chr4	287251	287331	atac_L28344	prox	.	.	1	6	0	0	1	2	0	1	6	0	0	0	0	0	0	0	0	0	1	1	2	5	0	0	0	1	0	1	4	0	1	1	3	1	1	13	3	0	0	1	0	0	3	1	0	2	3	3	11	0	0	1	0	0	5	12	0	0	3	2	0	3	10	2	2	2	0	0	3	0	0	0	3	3	2	14	0	0	2	1	0
chr4	298728	298943	atac_P05135	dist	.	.	1	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	1	0	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
chr4	304188	304474	atac_P05136	prox	.	.	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	0	1	3	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
chr4	306376	306461	atac_L28345	prox	.	.	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	5	0	0	1	1	1	0	4	0	0	2	1	0	2	1	0	0	6	9	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	4	0	3	0	0	1	0	1
chr4	306541	306651	atac_L28346	prox	.	.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	4	0	0	1	1	0	0	4	0	0	1	0	0	0	2	0	0	4	7	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	2	1	0	1	3	0	5	0	1	1	0	1
chr4	308526	308712	atac_L28347	prom_ens	+	ENSDART00000145428	2	1	0	0	0	1	1	1	5	1	0	0	0	0	4	2	1	0	0	3	0	0	1	0	0	0	0	2	3	0	0	0	0	2	0	8	1	0	1	0	1	5	2	3	0	0	1	0	4	0	0	0	0	0	4	5	0	1	1	2	8	2	18	2	0	4	0	0	7	5	1	0	0	0	0	6	1	1	3	0	0
chr4	316741	316836	atac_L28348	dist	.	.	0	0	0	0	0	2	2	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	2	0	0	0	1	0	1	3	0	6	0	1	0	0	0	3	1	0	0	0	3	2	1	0	1	0	0	1	0	0	0	0	1	5	2	2	5	0	0	3	0	0	3	0	1	0	4	0	0	2	0	0	1	0	4
chr4	319602	319808	atac_L28349	dist	.	.	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	1	1	0	0	1	0	2	0	0	0	2	1	1	0	0	0	0	0	1	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0
chr4	330678	330760	atac_L28350	prom_ens	-	ENSDART00000149933	0	3	0	0	0	0	0	0	5	2	0	1	0	0	2	0	1	0	2	2	0	0	0	0	0	0	0	5	6	1	0	1	1	6	0	10	5	1	2	1	0	7	0	1	0	4	4	4	7	0	1	3	1	1	1	3	1	0	1	1	5	0	12	2	0	2	0	0	6	1	2	0	3	7	1	4	0	0	1	0	0
chr4	331409	331528	atac_L28351	prox	.	.	1	1	0	0	0	0	3	0	11	1	0	4	0	0	3	0	0	1	3	4	1	2	0	0	0	0	1	1	0	1	0	0	1	2	1	7	2	0	0	0	0	4	1	2	1	3	5	2	3	0	0	1	0	1	6	10	0	0	2	2	9	1	22	1	1	6	0	0	5	1	1	0	6	13	3	11	1	0	1	0	0
chr4	332242	332536	atac_L28352	prox	.	.	0	1	0	1	1	0	0	0	3	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	5	6	0	2	1	3	6	1	18	3	0	5	0	0	1	2	0	0	6	11	2	11	1	0	1	0	1	0	3	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1
chr4	332695	332959	atac_L28353	prom_ens	+	ENSDART00000067486	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	1	1	2	0	10	1	0	3	0	0	0	1	1	0	3	2	0	2	0	0	1	0	2	0	2	0	0	0	1	1	0	4	0	1	1	0	0	2	3	1	0	0	1	0	0	1	0	4	1	1
chr4	338058	338151	atac_L28354	dist	.	.	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	0	0	4	0	0	1	1	0	1	1	1	0	0	0	0	0	0	0	2	1	0	1	3	0	0	2	1	2	0	3	1	0	0	0	1	4	1	0	0	1	1	0	0	0	0	0	1	0
chr4	357781	357865	atac_L28355	prom_ens	+	ENSDART00000142225	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	7	1	1	1	3	6	1	16	1	0	2	0	0	6	3	0	0	11	5	2	21	0	1	4	0	0
chr4	359929	360075	atac_L28356	prom_cage	+	ENSDART00000139832	0	0	0	2	1	1	2	1	2	0	2	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	1	2	1	0	0	3	5	0	8	1	0	4	0	0	4	0	1	1	2	4	0	2	0	0	2	0	1	0	1	0	2	6	1	3	1	6	1	1	1	0	0	5	1	0	0	2	1	1	8	0	0	4	0	0
chr4	391277	391418	atac_L28357	prom_cage	+	ENSDART00000030215	0	1	0	0	0	0	5	0	4	1	0	0	2	0	4	2	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0	3	4	0	8	0	0	3	1	0	1	2	1	0	2	1	1	0	0	0	0	0	0	4	5	1	0	4	0	16	0	15	6	0	3	3	0	8	1	1	1	3	1	1	7	4	3	12	0	0
chr4	398751	398849	atac_L28358	prox	.	.	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	2	0	1	0	6	1	1	1	0	1	1	0	0	0	2	3	0	0	0	0	1	1	0	1	0	1	0	0	2	1	0	7	0	0	0	0	0	4	0	0	0	1	2	1	1	0	0	0	0	0
chr4	400201	400307	atac_L28359	prox	.	.	0	0	0	0	0	0	1	0	5	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	1	3	0	0	1	0	1	1	11	2	0	0	0	0	1	0	1	0	2	1	0	1	0	0	1	1	1	0	4	0	0	0	0	2	0	19	2	1	1	0	0	3	2	2	0	5	0	0	0	0	0	4	0	0
chr4	400758	400864	atac_L28360	prox	.	.	0	0	0	0	0	0	3	0	6	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	3	0	18	2	1	1	0	0	3	2	1	0	5	0	0	0	0	0	4	0	0	1	2	0	1	0	0	2	0	11	3	0	2	3	0	2	1	0	0	0	2	0	0	1	1	2	0	1
chr4	402521	402602	atac_L28361	prox	.	.	1	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	1	1	3	1	0	8	0	0	1	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	1	4	0	0	1	0	2	1	9	1	0	0	1	0	3	1	0	0	2	3	0	3	0	0	0	0	1
chr4	403314	403426	atac_L28362	prox	.	.	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	1	0	12	0	0	0	2	0	3	2	0	0	3	5	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1
