chr	start	end	name	category	strand	gene	inferred_strand	svm_prediction	dome_k4me1_up	dome_k4me1_center	dome_k4me1_down	dome_k4me2_up	dome_k4me2_center	dome_k4me2_down	dome_k4me3_up	dome_k4me3_center	dome_k4me3_down	dome_k9ac_up	dome_k9ac_center	dome_k9ac_down	dome_k27ac_up	dome_k27ac_center	dome_k27ac_down	dome_h4k16ac_up	dome_h4k16ac_center	dome_h4k16ac_down	dome_k56ac_up	dome_k56ac_center	dome_k56ac_down	dome_k64ac_up	dome_k64ac_center	dome_k64ac_down	dome_k122ac_up	dome_k122ac_center	dome_k122ac_down	dome_ntac_up	dome_ntac_center	dome_ntac_down	dome_igg_up	dome_igg_center	dome_igg_down	dome_k4me1_centerdown	dome_k4me2_centerdown	dome_k4me3_centerdown	dome_k9ac_centerdown	dome_k27ac_centerdown	dome_h4k16ac_centerdown	dome_k56ac_centerdown	dome_k64ac_centerdown	dome_k122ac_centerdown	dome_ntac_centerdown	dome_igg_centerdown	dome_k4me1_lg_enrich	dome_k4me2_lg_enrich	dome_k4me3_lg_enrich	dome_k9ac_lg_enrich	dome_k27ac_lg_enrich	dome_h4k16ac_lg_enrich	dome_k56ac_lg_enrich	dome_k64ac_lg_enrich	dome_k122ac_lg_enrich	dome_ntac_lg_enrich
chr4	1619466	1619618	atac_L28432	prom_ens	+	ENSDART00000148486	+	prom	3.236	0	3.065	2.704	0	4.242	1.39	1.047	3.134	1.823	2.8	3.432	1.833	1.382	2.671	1.796	1.686	2.236	0	4.702	3.633	2.657	0	3.275	0.861	0	2.747	1.935	0	1.704	0.696	0	0.696	2.887	4.05	2.981	3.363	2.554	2.174	3.828	3.094	2.575	1.566	0.621	2.265	3.428	2.36	2.742	1.933	1.553	3.207	2.472	1.954	0.944
chr4	1684296	1684565	atac_L28434	prom_ens	-	ENSDART00000019144	+	prom	3.769	3.877	4.318	4.69	2.615	2.704	0.721	1.141	1.2	2.766	2.953	1.964	2.061	1.605	2.143	2.013	1.894	2.367	0	0	0	3.124	2.674	3.653	0.861	1.332	2.093	1.09	1.035	1.704	0.696	0	0.949	4.235	2.686	1.187	2.238	2.045	2.279	0	3.494	1.961	1.586	0.793	3.442	1.892	0.394	1.444	1.251	1.486	-0.793	2.7	1.168	0.793
chr4	1722817	1722906	atac_L28437	prom_ens	+	ENSDART00000021139	+	prom	2.871	2.789	2.056	0	0	4.439	1.636	2.215	2.337	2.319	3.484	2.98	1.882	1.246	2.364	1.887	1.178	2.013	0	0	2.264	2.542	2.683	3.124	0.861	0	1.396	1.09	2.061	1.935	0.39	2.165	1.164	2.132	4.321	2.327	3.029	2.299	1.96	2.167	3.093	1.321	1.945	1.277	0.855	3.044	1.05	1.752	1.022	0.683	0.89	1.815	0.044	0.668
chr4	1760951	1761077	atac_L28439	prom_ens	+	ENSDART00000026963	+	prom	2.056	2.372	3.527	0	2.694	4.69	0.721	2.46	2.629	1.293	3.035	3.107	0.983	1.966	1.929	1.232	3.025	2.572	0	0	0	1.291	3.114	3.412	1.396	2.084	2.093	1.704	2.949	2.133	0.949	1.157	0.696	3.435	4.564	2.611	3.099	1.933	2.63	0	3.382	2.092	2.251	0.756	2.679	3.808	1.856	2.344	1.177	1.875	-0.756	2.626	1.336	1.496
chr4	1801583	1801741	atac_L28440	prom_ens	-	ENSDART00000135749	+	prom	2.381	3.84	3.236	4.015	3.282	3.213	0.721	0.597	0.856	1.667	2.152	1.492	1.228	1.551	0.891	1.008	2.492	1.485	0	0	0	1.771	2.829	1.291	0	0	1.396	1.09	2.669	1.43	0.949	2.784	1.516	3.335	3.223	0.824	1.602	1.001	1.671	0	1.624	1.269	1.675	1.77	1.565	1.453	-0.946	-0.167	-0.769	-0.099	-1.77	-0.145	-0.501	-0.094
chr4	2064681	2064801	atac_L28445	prom_umms	+	TCONS_00087658	+	prom	3.388	3.288	3.976	3.213	3.643	4.69	1.558	1.888	3.31	2.42	2.817	3.167	2.463	3.482	2.828	1.649	2.097	2.236	0	0	3.633	2.417	2.328	3.859	0.861	0	2.345	1.935	1.745	1.43	0.696	0	0.696	3.916	4.608	3.209	3.133	2.914	2.221	3.484	3.754	2.215	1.467	0.636	3.28	3.973	2.574	2.497	2.278	1.586	2.848	3.118	1.58	0.831
chr4	2350375	2350462	atac_L28456	prom_ens	-	ENSDART00000166274	+	enh	2.381	2.817	2.381	1.25	0	1.91	0.405	0.95	0.721	0.447	1.625	1.062	0.793	1.265	0.891	0.643	2.081	1.161	0	0	0	0.974	1.915	1.771	0	2.509	1.396	0	0	1.09	0.696	1.476	0.696	2.421	1.823	0.741	1.116	0.925	1.261	0	1.783	1.525	1.028	0.777	1.645	1.046	-0.036	0.34	0.148	0.484	-0.777	1.006	0.748	0.251
chr4	2481990	2482070	atac_L28463	prom_ens	+	ENSDART00000103371	+	prom	2.381	0	2.381	1.91	3.266	4.344	0.856	2.601	3.508	0.787	2.468	2.841	0.687	2.018	2.463	0.926	1.93	2.091	0	0	2.264	1.291	0	2.657	0	2.609	2.093	0.646	0	1.43	0.696	0	1.351	2.292	4.286	3.457	2.817	2.435	2.08	2.177	2.564	2.138	1.361	1.284	1.008	3.002	2.173	1.533	1.151	0.795	0.893	1.28	0.854	0.077
chr4	3145306	3145465	atac_L28491	prom_ens	-	ENSDART00000112210	+	enh	3.876	3.832	2.381	1.91	3.808	1.91	0.405	0	0.98	0.447	1.714	0.447	1.069	1.724	1.437	0.536	1.272	1.364	2.264	0	0	1.771	2.012	1.771	1.396	0	0	1.704	1.473	1.43	0.39	0	0.39	2.689	2.369	0.879	0.701	1.48	1.352	0	1.806	0	1.436	0.342	2.347	2.027	0.537	0.359	1.138	1.01	-0.342	1.464	-0.342	1.094
chr4	3355606	3355783	atac_L28502	prom_umms	-	TCONS_00093060	+	enh	2.381	3.688	3.065	0	0	2.981	1.558	1.718	1.298	1.964	1.018	1.293	1.437	1.618	1.562	1.087	1.372	1.008	2.264	0	0	1.291	1.897	1.961	0.861	1.725	0.861	1.935	1.376	1.704	1.351	0	0.696	3.178	2.778	1.369	1.255	1.57	1.069	0	1.952	1.029	1.659	0.611	2.567	2.167	0.759	0.645	0.96	0.459	-0.611	1.341	0.418	1.049
chr4	3358215	3358418	atac_L28503	prom_ens	+	ENSDART00000075320	+	prom	2.871	0	3.388	2.704	2.136	4.015	0.856	1.136	1.2	0	1.88	1.293	0.983	0.927	1.62	1.232	0.872	0.837	2.264	0	0	1.291	1.13	0.568	0.861	0	0.861	0.646	0	1.09	0.696	0	0.39	3.15	3.826	1.189	1.411	1.524	0.843	0	0.679	0.747	0.955	0.331	2.819	3.495	0.858	1.08	1.194	0.513	-0.331	0.349	0.416	0.624
chr4	3455647	3455762	atac_L28515	prom_ens	+	ENSDART00000058277	+	prom	3.976	3.88	3.976	1.91	0	3.886	0.721	0.77	1.845	2.319	3.387	2.841	1.677	2.391	2.699	1.972	2.433	2.052	2.264	0	2.264	2.657	2.866	3.412	1.786	0	1.786	0.646	0	1.09	1.665	1.231	1.351	3.966	3.741	1.765	2.908	2.67	2.097	2.141	3.365	1.676	1.009	1.339	2.627	2.402	0.426	1.569	1.331	0.758	0.802	2.026	0.338	-0.33
chr4	3979754	3979838	atac_L28539	prom_umms	+	TCONS_00087715	+	enh	0	2.861	3.527	0	3.203	1.25	0.405	1.551	0.405	0.447	0	0.447	0	0	0.315	0.293	0	0.536	0	0	0	0.568	0	0.974	0	0	0	0.646	0	1.09	0	0	0.696	3.485	1.54	0.535	0.416	0.293	0.501	0	0.918	0	1.03	0.653	2.832	0.887	-0.118	-0.236	-0.36	-0.152	-0.653	0.266	-0.653	0.377
chr4	4079202	4079587	atac_L28542	prom_ens	+	ENSDART00000028016	+	prom	3.236	4.003	4.53	1.91	4.704	3.745	0.856	1.038	1.845	1.667	2.254	2.42	1.371	1.946	2.103	0.926	1.8	1.426	0	0	0	2.13	2.731	3.124	1.396	1.043	1.786	1.704	2.433	2.308	1.164	1.591	1.351	4.402	4.081	1.662	2.376	2.061	1.54	0	3.025	1.615	2.344	1.422	2.98	2.66	0.241	0.954	0.639	0.118	-1.422	1.603	0.193	0.922
chr4	4166256	4166353	atac_L28549	prom_ens	+	ENSDART00000145235	+	enh	1.635	0	0	1.25	3.019	1.25	0.98	1.417	0.98	0.447	0	0.787	0.574	1.175	0.793	1.3	1.453	1.232	0	0	0	0	0	0	1.786	2.381	1.786	0.646	0	0.646	1.164	1.378	1.164	0	1.529	1.025	0.732	0.831	1.253	0	0	1.85	0.599	1.184	-1.184	0.345	-0.159	-0.452	-0.353	0.069	-1.184	-1.184	0.666	-0.585
chr4	4250261	4250405	atac_L28560	prom_ens	-	ENSDART00000103316	+	enh	2.381	3.58	3.876	1.25	0	1.25	1.2	1.427	0.856	1.964	3.295	2.687	2.221	2.96	2.061	1.542	2.044	1.887	2.264	0	3.105	2.657	3.67	3.275	1.786	2.737	1.786	1.09	1.566	2.133	0.949	1.657	0.949	3.842	1.141	0.942	2.779	2.21	1.907	2.935	3.331	1.946	2.073	1.059	2.782	0.082	-0.118	1.72	1.151	0.848	1.876	2.272	0.887	1.014
chr4	4509924	4510055	atac_L28568	prom_ens	+	ENSDART00000028694	+	prom	2.056	0	3.388	1.91	0	5.257	1.2	0.695	1.779	1.492	1.254	1.964	0.891	0.552	1.783	0.643	0.515	1.485	0	0	3.105	1.771	2.227	2.417	0.861	2.041	2.345	1.09	1.658	2.308	1.665	1.751	0.949	3.229	5.084	1.688	1.898	1.683	1.401	2.95	2.396	2.313	2.246	1.068	2.161	4.016	0.62	0.83	0.615	0.333	1.882	1.328	1.245	1.178
chr4	4535040	4535182	atac_L28570	prom_ens	-	ENSDART00000057519	+	prom	2.381	0	2.647	1.91	3.421	1.91	0.856	2.146	1.39	2.092	2.273	1.492	1.677	1.839	1.62	1.161	1.575	1.542	0	0	0	2.417	2.608	2.657	1.396	0	0	1.09	0	1.09	1.665	1.671	1.164	2.487	2.209	1.509	1.616	1.649	1.546	0	2.651	0	0.992	1.237	1.25	0.971	0.271	0.378	0.412	0.309	-1.237	1.414	-1.237	-0.245
chr4	4803506	4803738	atac_P05154	prom_ens	+	ENSDART00000129252	+	prom	4.157	5.386	4.656	1.91	3.31	2.704	1.779	1.924	1.2	1.293	1.358	1.492	1.069	1.961	1.437	1.161	0.978	1.087	2.264	0	0	1.291	2.367	2.417	1.396	2.176	0	0.646	1.148	1.43	1.516	1.224	0.949	4.825	2.839	1.367	1.468	1.552	1.067	0	2.408	0.733	1.381	1.005	3.82	1.834	0.362	0.463	0.547	0.062	-1.005	1.403	-0.271	0.376
chr4	4834049	4834317	atac_P05155	prom_ens	+	ENSDART00000150309	+	prom	3.976	4.223	2.871	1.25	4.432	3.589	0.856	1.144	1.558	2.092	1.89	1.964	1.562	1.496	1.62	1.161	1.898	2.091	0	3.925	2.264	2.417	1.485	2.657	1.396	2.016	2.093	1.43	0	1.09	0.39	0	0	3.28	3.812	1.48	1.949	1.595	2.052	2.807	2.476	2.077	0.919	0	3.28	3.812	1.48	1.949	1.595	2.052	2.807	2.476	2.077	0.919
chr4	4849697	4849776	atac_L28591	prom_umms	+	TCONS_00087770	+	enh	3.769	5.356	3.653	1.25	0	1.91	0.721	1.61	1.094	1.667	3.348	1.293	1.437	2.032	1.371	1.232	1.648	1.232	0	0	2.264	0.568	0	1.771	1.396	0	0	1.704	3.026	1.43	0.949	1.567	1.351	3.873	1.83	1.139	1.593	1.431	1.267	2.178	1.694	0	1.629	1.368	2.506	0.463	-0.229	0.226	0.063	-0.101	0.81	0.326	-1.368	0.261
chr4	5302851	5302929	atac_L28608	prom_ens	-	ENSDART00000138590	+	prom	3.976	5.374	3.065	3.213	4.223	1.91	0.856	2.042	1.709	0.787	0	0.447	0.45	0	0.574	0.643	1.288	1.542	0	0	0	1.291	0	0.974	0	0	0.861	0	0	1.09	0.696	0	1.164	3.428	2.274	1.736	0.418	0.539	1.525	0	0.922	0.813	1.034	1.105	2.323	1.17	0.631	-0.686	-0.566	0.42	-1.105	-0.182	-0.291	-0.071
chr4	5318831	5318955	atac_L28609	prom_ens	+	ENSDART00000067378	+	prom	2.056	2.39	2.647	2.981	2.714	3.745	0.856	2.479	4.064	1.964	3.966	3.332	1.151	2.681	2.431	0.837	2.468	2.367	2.264	0	3.105	0.974	1.558	3.202	0	2.101	1.396	0.646	0	1.09	0.696	0	0.696	2.621	3.662	3.954	3.417	2.461	2.379	2.957	3.089	1.493	1.003	0.634	1.987	3.028	3.32	2.783	1.827	1.745	2.324	2.455	0.86	0.369
chr4	5506904	5506996	atac_L28618	prom_ens	+	ENSDART00000032857	+	enh	1.635	4.578	4.594	0	0	3.413	0.721	2.652	1.477	0	0	2.092	0.315	2.657	2.018	0.154	0.688	2.052	0	0	2.264	0	1.857	3.042	0	0	0	1.935	3.73	2.959	0.696	0	1.516	4.593	3.299	1.622	1.996	2.084	1.976	2.164	2.972	0	3.042	1.435	3.158	1.864	0.187	0.561	0.649	0.541	0.73	1.537	-1.435	1.608
chr4	5523559	5523666	atac_L28621	prom_umms	+	TCONS_00087868	+	enh	4.715	5.147	4.53	1.91	4.346	2.361	1.558	0	1.909	2.515	3.864	3.383	1.882	2.745	2.294	1.649	2.054	1.485	3.105	4.231	4.788	4.161	3.86	3.707	0	2.267	2.093	2.604	3.156	2.464	1.665	1.292	0.696	4.602	2.724	1.803	3.437	2.345	1.551	4.742	3.723	2.11	2.547	0.766	3.837	1.958	1.037	2.671	1.579	0.785	3.977	2.957	1.345	1.782
chr4	5523677	5523788	atac_L28622	prom_ens	+	ENSDART00000027304	+	enh	4.656	4.627	4.53	2.361	0	2.704	1.298	0.791	2.085	2.913	4.246	3.224	2.182	2.7	2.143	1.649	1.333	1.542	3.105	4.181	4.974	4.199	4.2	3.707	0.861	0	2.345	2.959	2.606	2.308	1.665	1.261	0.696	4.54	2.576	1.997	3.365	2.209	1.522	4.912	3.765	2.224	2.341	0.764	3.776	1.813	1.233	2.602	1.446	0.758	4.148	3.001	1.461	1.577
chr4	5741558	5741890	atac_L28631	prom_ens	+	ENSDART00000110243	+	enh	1.635	2.525	2.871	1.91	1.621	2.361	0.98	0.315	0.217	0.787	1.671	0.447	0.574	2.436	1.562	1.087	1.6	1.008	0	0	0	2.13	2.605	1.291	1.396	0	0.861	1.09	1.433	1.704	1.665	0.951	0.39	2.792	2.209	0.242	0.862	1.834	1.18	0	1.746	0.69	1.641	0.551	2.241	1.657	-0.31	0.31	1.283	0.629	-0.551	1.194	0.138	1.09
chr4	5764248	5764324	atac_L28635	prom_ens	-	ENSDART00000113864	+	enh	2.871	2.986	2.056	1.91	0	1.25	0.217	1.047	0.721	0.787	0	0	0.315	0	0.45	0.744	1.31	0.744	0	0	0	0.568	2.061	0.568	0	2.671	1.396	0	0	0	0.696	0	0.696	2.145	1.19	0.747	0	0.422	0.792	0	0.742	1.534	0	0.657	1.489	0.533	0.09	-0.657	-0.234	0.135	-0.657	0.085	0.878	-0.657
chr4	5832186	5832409	atac_P05165	prom_ens	+	ENSDART00000158233	+	prom	2.647	4.62	4.929	2.981	4.996	4.97	1.094	1.669	2.139	1.293	2.556	2.42	0.891	1.401	1.501	1.426	2.402	2.129	0	0	0	1.551	2.905	2.417	0.861	0	0	0	0	1.43	0	0	1.164	4.878	4.975	2.064	2.446	1.483	2.182	0	2.519	0	1.254	1.01	3.868	3.965	1.054	1.436	0.473	1.172	-1.01	1.509	-1.01	0.244
chr4	5969450	5969533	atac_L28658	prom_umms	-	TCONS_00093256	+	prom	3.653	4.323	3.236	2.981	0	2.361	0.405	1.562	1.2	0.787	0	1.293	1.501	2.225	1.228	0.837	1.891	1.485	0	0	0	0.568	1.966	0.568	0.861	0	0.861	0.646	0	0.646	1.164	2.244	1.351	3.355	2.269	1.231	1.226	1.334	1.52	0	0.738	0.81	0.605	1.442	1.913	0.827	-0.212	-0.216	-0.108	0.078	-1.442	-0.704	-0.632	-0.837
chr4	6639515	6639661	atac_L28683	prom_umms	-	TCONS_00093276	+	prom	2.871	0	2.871	2.704	2.517	1.91	0.98	0	0.721	1.492	0	1.823	1.301	1.81	1.833	0.926	1.345	1.485	0	0	0	1.771	2.574	2.13	1.396	0	0	0.646	2.283	0.646	0.949	1.643	0.696	2.703	2.003	0.647	1.685	1.83	1.468	0	2.195	0	0.989	0.857	1.845	1.146	-0.21	0.828	0.973	0.61	-0.857	1.337	-0.857	0.132
chr4	6643344	6643459	atac_L28684	prom_ens	+	ENSDART00000099462	+	enh	1.635	2.479	3.388	1.25	0	1.91	0.572	0.77	1.298	1.062	2.055	1.964	1.069	1.374	1.371	0.926	0.984	0.744	0	0	2.264	1.551	2.377	1.291	1.396	0	0.861	1.09	0	0	0.949	1.886	1.516	3.317	1.796	1.252	1.974	1.371	0.77	2.141	1.449	0.792	0	1.559	1.758	0.237	-0.307	0.415	-0.188	-0.789	0.582	-0.11	-0.767	-1.559
chr4	6809248	6809495	atac_L28689	prom_ens	-	ENSDART00000099467	+	prom	1.635	2.395	2.871	3.745	2.719	3.413	0.856	0.728	0.98	1.492	1.304	1.492	1.371	1.312	1.731	1.426	1.496	1.972	3.105	0	0	2.281	2.556	2.862	0	2.575	2.093	1.43	1.716	1.935	1.164	0	0.696	2.788	3.3	0.934	1.457	1.657	1.889	0	2.807	2.202	1.894	0.582	2.206	2.717	0.351	0.875	1.074	1.307	-0.582	2.224	1.619	1.312
chr4	6833512	6833663	atac_L28690	prom_ens	+	ENSDART00000165179	+	prom	2.381	2.165	4.594	0	3.341	4.015	0	1.384	1.845	1.062	0	2.687	0.891	1.388	1.501	1.087	1.082	1.596	0	0	0	0.974	3.404	2.13	0	0	2.56	0.646	3.084	2.732	0	0	0.696	4.431	3.943	1.793	2.518	1.487	1.538	0	2.376	2.394	2.784	0.622	3.809	3.321	1.171	1.896	0.865	0.917	-0.622	1.754	1.772	2.162
chr4	7222297	7222543	atac_L28698	prom_ens	-	ENSDART00000166716	+	prom	2.871	2.891	3.527	2.981	0	1.25	1.094	1.574	1.477	1.492	0.797	0.447	1.228	0.994	1.069	0.419	1.246	1.426	0	0	0	2.13	1.566	2.542	1.396	0	1.396	0.646	1.103	1.09	0.696	0.705	0.696	3.421	1.075	1.496	0.523	1.055	1.392	0	2.395	1.208	1.093	0.698	2.723	0.377	0.799	-0.175	0.357	0.694	-0.698	1.697	0.51	0.395
chr4	7415232	7415407	atac_L28701	prom_ens	+	ENSDART00000103048	+	enh	2.381	2.002	2.381	1.25	2.304	1.25	1.39	1.512	1.094	1.964	2.039	1.964	0.574	2.718	2.103	0.536	1.382	1.485	0	0	0	1.551	2.703	1.771	0	2.502	2.56	1.09	2.079	1.704	0.39	1.471	1.164	2.331	1.465	1.165	1.976	2.213	1.47	0	1.954	2.552	1.767	1.214	1.117	0.251	-0.049	0.762	0.999	0.256	-1.214	0.74	1.338	0.553
chr4	7677269	7677537	atac_L28722	prom_umms	+	TCONS_00088001	+	prom	2.381	3.676	4.24	1.25	3.793	4.242	0.721	1.329	1.477	1.293	2.826	2.515	1.371	2.215	1.731	1.364	1.814	1.749	0	0	0	2.13	2.868	2.763	1.396	1.335	1.786	1.935	2.057	1.704	1.164	1.452	1.164	4.137	4.158	1.447	2.586	1.847	1.763	0	2.786	1.702	1.786	1.229	2.908	2.929	0.217	1.357	0.618	0.533	-1.229	1.556	0.472	0.557
chr4	8016367	8016577	atac_L28733	prom_ens	+	ENSDART00000014036	+	prom	1.037	4.396	3.976	1.91	3.44	3.413	1.298	1.347	1.298	0.447	2.155	1.062	0.574	1.294	1.151	0.744	1.769	0.837	0	0	0	0.568	3.349	1.771	0	0	0.861	0	2.331	1.43	1.665	1.983	1.164	4.058	3.418	1.307	1.321	1.177	1.049	0	2.198	0.744	1.632	1.343	2.715	2.074	-0.037	-0.022	-0.167	-0.295	-1.343	0.855	-0.6	0.289
chr4	8213095	8213304	atac_L28740	prom_ens	+	ENSDART00000148440	+	prom	0	3.764	4.594	1.25	3.827	4.439	1.39	1.555	1.709	0.787	2.634	3.279	0.983	2.262	2.699	1.426	2.332	2.165	0	0	2.264	0.568	2.986	3.538	0	1.562	1.396	0.646	2.337	1.935	1.164	1.689	0.949	4.481	4.35	1.684	3.186	2.632	2.195	2.052	3.456	1.426	2.013	1.107	3.374	3.243	0.577	2.079	1.525	1.088	0.945	2.349	0.319	0.906
chr4	8532082	8532238	atac_L28748	prom_umms	+	TCONS_00088041	+	enh	1.037	2.953	4.069	1.25	0	1.25	1.094	1.355	1.094	1.062	1.733	0.447	0.983	1.902	1.069	0.744	1.057	0.293	0	0	2.264	0.974	1.348	2.417	0	0	0.861	0.646	2.684	0.646	0.949	1.579	0	3.96	1.133	1.132	0.703	1.214	0.423	2.101	2.312	0.771	1.151	0.343	3.618	0.79	0.789	0.36	0.871	0.08	1.758	1.969	0.428	0.808
chr4	8670531	8670712	atac_L28761	prom_ens	+	ENSDART00000168768	+	prom	3.388	2.769	4.069	3.413	2.266	5.032	1.298	1.696	3.08	2.515	2.002	1.667	2.018	1.425	1.929	2.052	2.143	2.052	3.105	0	0	3.275	1.222	2.542	2.56	1.702	2.093	1.43	0	1.704	0.696	0.892	1.922	3.932	4.83	2.937	1.724	1.862	2.067	0	2.403	2.039	1.542	1.805	2.127	3.025	1.132	-0.081	0.057	0.262	-1.805	0.598	0.234	-0.263
